Rk,X,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y.A,TD.1,Tgt,Rec,Yds.2,Y.R,TD.2,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,namecode
1,Shaun Alexander*+\AlexSh00,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.20,1,364,379.3,366.3,221,1,1,AlexSh00
2,Larry Johnson*\JohnLa00,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,335,371.8,346.8,192,2,2,JohnLa00
3,LaDainian Tomlinson*\TomlLa00,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,317,372.6,339.6,174,3,3,TomlLa00
4,Tiki Barber*+\BarbTi00,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,307,366.5,333.0,164,4,4,BarbTi00
5,Edgerrin James*\JameEd00,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,268,317.3,288.3,125,5,5,JameEd00
6,Steve Smith*+\SmitSt01,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,237,341.8,286.3,120,1,6,SmitSt01
7,Clinton Portis\PortCl00,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.20,0,246,280.4,257.9,103,6,7,PortCl00
8,Antonio Gates*+\GateAn00,SDG,TE,25,15,15,0,0,0,0,0,0,0,,0,140,89,1101,12.37,10,170,262.1,214.6,93,1,8,GateAn00
9,Larry Fitzgerald*\FitzLa00,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,205,311.0,256.5,88,2,9,FitzLa00
10,Santana Moss*\MossSa00,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1.00,0,134,84,1483,17.65,9,202,287.5,241.0,85,3,10,MossSa00
11,Chad Johnson*+\JohnCh01,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.60,0,155,97,1432,14.76,9,201,300.0,248.0,84,4,11,JohnCh01
12,LaMont Jordan\JordLa00,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,227,301.8,259.8,84,8,12,JordLa00
13,Rudi Johnson\JohnRu00,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,227,252.3,237.3,84,7,13,JohnRu00
14,Joey Galloway\GallJo00,TAM,WR,34,16,16,0,0,0,0,0,2,4,2.00,0,152,83,1287,15.51,10,189,275.1,230.6,72,5,14,GallJo00
15,Anquan Boldin\BoldAn00,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,189,292.7,237.7,72,6,15,BoldAn00
