Rk,X,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y.A,TD.1,Tgt,Rec,Yds.2,Y.R,TD.2,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,namecode
1,Chris Johnson*+\JohnCh04,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,349,403.4,370.9,199,1,1,JohnCh04
2,Adrian Peterson*+\PeteAd01,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,290,335.4,304.4,140,2,2,PeteAd01
3,Maurice Jones-Drew*\DrewMa00,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,273,330.5,297.0,122,3,3,DrewMa00
4,Aaron Rodgers*\RodgAa00,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,351,359.0,348.0,115,1,4,RodgAa00
5,Andre Johnson*+\JohnAn02,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,214,317.4,263.4,104,1,5,JohnAn02
6,Ray Rice*\RiceRa00,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,252,334.6,288.1,102,4,6,RiceRa00
7,Randy Moss\MossRa00,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,206,291.4,245.9,97,2,7,MossRa00
8,Miles Austin*\AustMi00,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,198,281.3,237.3,88,3,8,AustMi00
9,Frank Gore*\GoreFr00,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,231,286.6,252.6,80,5,9,GoreFr00
10,Thomas Jones\JoneTh00,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,230,242.0,233.0,80,6,10,JoneTh00
11,DeSean Jackson*\JackDe00,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,189,267.8,229.3,80,4,11,JackDe00
12,Larry Fitzgerald*\FitzLa00,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,187,287.2,235.7,78,5,12,FitzLa00
13,Vernon Davis*\DaviVe00,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,175,255.5,213.5,76,1,13,DaviVe00
14,Reggie Wayne*\WaynRe00,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,184,288.4,235.4,75,6,14,WaynRe00
15,Dallas Clark*+\ClarDa00,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,172,274.2,220.7,73,2,15,ClarDa00
