Rk,X,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y.A,TD.1,Tgt,Rec,Yds.2,Y.R,TD.2,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,namecode
43,Darrell Jackson\JackDa00,SEA,WR,23,16,16,0,0,0,0,0,1,9,9.00,0,132,70,1081,15.44,8,157,230.0,192.0,28,16,43,JackDa00
44,Charlie Garner\GarnCh00,OAK,RB,29,16,16,0,0,0,0,0,211,839,3.98,1,91,72,578,8.03,2,162,236.7,193.7,27,17,44,GarnCh00
45,Mike Alstott*\AlstMi00,TAM,RB,28,16,16,0,0,0,0,0,165,680,4.12,10,50,35,231,6.60,1,161,201.1,176.6,26,18,45,AlstMi00
46,Qadry Ismail\IsmaQa00,BAL,WR,31,16,15,0,0,0,0,0,0,0,,0,134,74,1059,14.31,7,150,226.4,185.9,21,17,46,IsmaQa00
47,Keenan McCardell\McCaKe00,JAX,WR,31,16,16,0,0,0,0,0,0,0,,0,145,93,1110,11.94,6,149,244.5,194.5,20,18,47,McCaKe00
48,Isaac Bruce*\BrucIs00,STL,WR,29,16,16,0,0,0,0,0,4,23,5.75,0,103,64,1106,17.28,6,149,213.9,176.9,20,19,48,BrucIs00
49,Jay Fiedler\FiedJa00,MIA,QB,30,16,16,273,450,3290,20,19,73,321,4.40,4,0,0,0,,0,230,251.7,242.7,20,10,49,FiedJa00
50,Shannon Sharpe*\SharSh00,BAL,TE,33,16,15,0,0,0,0,0,0,0,,0,114,73,811,11.11,2,93,168.6,128.6,18,3,50,SharSh00
51,Desmond Clark\ClarDe00,DEN,TE,24,16,4,0,0,0,0,0,0,0,,0,76,51,566,11.10,6,93,145.1,115.1,17,4,51,ClarDe00
52,Bill Schroeder\SchrBi00,GNB,WR,30,14,14,0,0,0,0,0,1,6,6.00,0,93,53,918,17.32,9,146,201.9,171.9,17,20,52,SchrBi00
53,Frank Wycheck\WychFr00,TEN,TE,30,16,16,1,1,21,0,0,1,1,1.00,0,84,60,672,11.20,4,92,155.1,122.1,17,5,53,WychFr00
54,Eddie George\GeorEd00,TEN,RB,28,16,16,0,0,0,0,0,315,939,2.98,5,51,37,279,7.54,0,152,190.8,162.3,17,19,54,GeorEd00
55,Duce Staley\StalDu00,PHI,RB,26,13,10,0,0,0,0,0,166,604,3.64,2,91,63,626,9.94,2,147,214.5,175.5,12,20,55,StalDu00
56,Peerless Price\PricPe00,BUF,WR,25,16,16,0,0,0,0,0,6,97,16.17,0,111,55,895,16.27,7,141,198.2,166.7,12,21,56,PricPe00
57,Bubba Franks*\FranBu00,GNB,TE,23,16,14,0,0,0,0,0,0,0,,0,49,36,322,8.94,9,86,125.2,104.2,11,6,57,FranBu00
58,Johnnie Morton\MortJo00,DET,WR,30,16,16,0,0,0,0,0,1,6,6.00,0,144,77,1154,14.99,4,140,219.5,177.5,11,22,58,MortJo00
59,Laveranues Coles\ColeLa00,NYJ,WR,24,16,16,0,0,0,0,0,10,108,10.80,0,102,59,868,14.71,7,140,204.1,168.1,10,23,59,ColeLa00
60,Byron Chamberlain*\ChamBy00,MIN,TE,30,16,15,0,0,0,0,0,0,0,,0,81,57,666,11.68,3,85,144.1,112.1,9,7,60,ChamBy00
61,James Thrash\ThraJa00,PHI,WR,26,15,15,0,0,0,0,0,6,57,9.50,0,108,63,833,13.22,8,137,202.5,167.5,8,24,61,ThraJa00
62,David Sloan\SloaDa00,DET,TE,29,15,15,0,0,0,0,0,0,0,,0,69,37,409,11.05,7,83,122.9,101.4,8,8,62,SloaDa00
63,Plaxico Burress\BurrPl00,PIT,WR,24,16,16,0,0,0,0,0,0,0,,0,120,66,1008,15.27,6,137,205.3,168.8,8,25,63,BurrPl00
64,Willie Jackson\JackWi00,NOR,WR,30,16,16,0,0,0,0,0,0,0,,0,135,81,1046,12.91,5,137,220.6,177.1,7,26,64,JackWi00
65,Amani Toomer\ToomAm00,NYG,WR,27,16,14,0,0,0,0,0,3,8,2.67,0,141,72,1054,14.64,5,136,210.2,170.2,7,27,65,ToomAm00
66,Jerome Bettis*\BettJe00,PIT,RB,29,11,11,1,2,32,1,0,225,1072,4.76,4,10,8,48,6.00,0,141,150.8,142.3,6,21,66,BettJe00
67,Michael Pittman\PittMi00,ARI,RB,26,15,14,0,0,0,0,0,241,846,3.51,5,66,42,264,6.29,0,141,186.5,157.0,6,22,67,PittMi00
68,Keyshawn Johnson*\JohnKe00,TAM,WR,29,15,15,0,0,0,0,0,0,0,,0,180,106,1266,11.94,1,133,240.6,183.6,3,28,68,JohnKe00
69,Hines Ward*\WardHi00,PIT,WR,25,16,16,0,1,0,0,0,10,83,8.30,0,145,94,1003,10.67,4,133,229.1,178.6,3,29,69,WardHi00
70,Chad Lewis*\LewiCh00,PHI,TE,30,15,15,0,0,0,0,0,0,0,,0,68,41,422,10.29,6,78,121.2,96.7,3,9,70,LewiCh00
71,Mark Brunell\BrunMa00,JAX,QB,31,15,15,289,473,3309,19,13,39,224,5.74,1,0,0,0,,0,213,227.8,217.8,3,11,71,BrunMa00
72,Jay Riemersma\RiemJa00,BUF,TE,28,16,15,0,0,0,0,0,0,0,,0,78,53,590,11.13,3,77,133.0,103.5,2,10,72,RiemJa00
73,Warrick Dunn\DunnWa00,TAM,RB,26,13,12,0,0,0,0,0,158,447,2.83,3,97,68,557,8.19,3,136,209.4,168.4,1,23,73,DunnWa00
74,Ernie Conwell\ConwEr00,STL,TE,29,16,14,0,0,0,0,0,7,28,4.00,1,52,38,431,11.34,4,76,115.9,92.9,1,11,74,ConwEr00
75,Deon Dyer\DyerDe00,MIA,,24,16,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,,,,7,75,DyerDe00
76,Maurice Smith\SmitMa00,ATL,RB,25,16,12,0,0,0,0,0,237,760,3.21,5,27,19,230,12.11,1,135,159.5,143.5,,24,76,SmitMa00
77,Chris Chambers\ChamCh00,MIA,WR,23,16,7,0,0,0,0,0,1,-11,-11.00,0,90,48,883,18.40,7,129,179.2,151.2,,30,77,ChamCh00
78,Matt Snider\SnidMa21,MIN,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,2,78,SnidMa21
79,Daunte Culpepper\CulpDa00,MIN,QB,24,11,11,235,366,2612,14,13,71,416,5.86,5,1,1,0,0.00,0,210,222.1,207.6,,12,,CulpDa00
80,Jake Plummer\PlumJa00,ARI,QB,27,16,16,304,525,3653,18,14,35,163,4.66,0,0,0,0,,0,206,222.4,212.4,,13,,PlumJa00
81,Kerry Collins\CollKe00,NYG,QB,29,16,16,327,568,3764,19,16,39,73,1.87,0,1,1,-2,-2.00,0,202,210.2,195.2,,14,,CollKe00
82,Brad Johnson\JohnBr00,TAM,QB,33,16,16,340,559,3406,13,11,39,120,3.08,3,0,0,0,,0,200,215.2,207.2,,15,,JohnBr00
83,Brian Griese\GrieBr00,DEN,QB,26,15,15,275,451,2827,23,19,50,173,3.46,1,1,1,-6,-6.00,0,194,216.3,206.3,,16,,GrieBr00
84,Trent Green\GreeTr00,KAN,QB,31,16,16,296,523,3783,17,24,35,158,4.51,0,1,1,1,1.00,0,193,218.7,206.7,,17,,GreeTr00
85,Doug Flutie\FlutDo00,SDG,QB,39,16,16,294,521,3464,15,18,53,192,3.62,1,0,0,0,,0,188,208.3,198.8,,18,,FlutDo00
86,Chris Weinke\WeinCh00,CAR,QB,29,15,15,293,540,2931,11,19,37,128,3.46,6,0,0,0,,0,172,191.5,180.0,,19,,WeinCh00
87,Tom Brady*\BradTo00,NWE,QB,24,15,14,264,413,2843,18,12,36,43,1.19,0,1,1,23,23.00,0,168,178.3,168.8,,20,,BradTo00
88,Chris Chandler\ChanCh00,ATL,QB,36,14,14,223,365,2847,16,14,25,84,3.36,0,0,0,0,,0,160,173.3,166.3,,21,,ChanCh00
89,Tim Couch\CoucTi00,CLE,QB,24,16,16,272,454,3040,17,21,38,128,3.37,0,1,1,-10,-10.00,0,159,182.9,171.9,,22,,CoucTi00
90,Elvis Grbac\GrbaEl00,BAL,QB,31,14,14,265,467,3033,15,18,21,18,0.86,1,0,0,0,,0,153,169.6,162.1,,23,,GrbaEl00
91,Jon Kitna\KitnJo00,CIN,QB,29,16,15,313,581,3216,12,22,27,73,2.70,1,0,0,0,,0,148,166.4,156.9,,24,,KitnJo00
92,Tony Banks\BankTo00,WAS,QB,28,15,14,198,370,2386,10,10,47,152,3.23,2,0,0,0,,0,145,155.6,144.6,,25,,BankTo00
93,Vinny Testaverde\TestVi00,NYJ,QB,38,16,16,260,441,2752,15,14,31,25,0.81,0,0,0,0,,0,145,155.6,146.6,,26,,TestVi00
94,Emmitt Smith\SmitEm00,DAL,RB,32,14,14,0,0,0,0,0,261,1021,3.91,3,21,17,116,6.82,0,132,154.2,139.2,,25,,SmitEm00
95,Kevin Dyson\DysoKe00,TEN,WR,26,16,16,0,0,0,0,0,0,0,,0,112,54,825,15.28,7,127,183.5,153.5,,31,,DysoKe00
96,Charlie Batch\BatcCh00,DET,QB,27,10,9,198,341,2392,12,12,12,45,3.75,0,0,0,0,,0,126,138.2,132.2,,27,,BatcCh00
97,Cris Carter\CartCr00,MIN,WR,36,16,16,0,0,0,0,0,1,4,4.00,0,130,73,871,11.93,6,124,198.5,158.0,,32,,CartCr00
98,Jamel White\WhitJa00,CLE,RB,24,16,7,0,0,0,0,0,126,443,3.52,5,60,44,418,9.50,1,124,173.6,145.1,,26,,WhitJa00
99,Eric Moulds\MoulEr00,BUF,WR,28,16,16,0,0,0,0,0,3,3,1.00,0,135,67,904,13.49,5,123,192.2,155.2,,33,,MoulEr00
100,Jim Miller\MillJi00,CHI,QB,30,14,13,228,395,2299,13,10,29,-19,-0.66,0,0,0,0,,0,122,131.6,125.1,,28,,MillJi00
101,Ron Dayne\DaynRo00,NYG,RB,23,16,7,0,0,0,0,0,180,690,3.83,7,11,8,67,8.38,0,120,129.7,121.7,,27,,DaynRo00
102,Antonio Freeman\FreeAn00,GNB,WR,29,16,16,0,0,0,0,0,1,-5,-5.00,0,108,52,818,15.73,6,119,173.8,144.3,,34,,FreeAn00
103,David Patten\PattDa00,NWE,WR,27,16,14,1,2,60,1,1,5,67,13.40,1,94,51,749,14.69,4,116,170.5,141.5,,35,,PattDa00
104,Travis Henry\HenrTr00,BUF,RB,23,13,12,0,0,0,0,0,213,729,3.42,4,27,22,179,8.14,0,115,140.3,120.8,,28,,HenrTr00
105,Alex Van Pelt\VanPAl00,BUF,QB,31,12,8,178,307,2056,12,11,12,33,2.75,0,0,0,0,,0,114,125.0,119.5,,29,,VanPAl00
106,Jeff Graham\GrahJe00,SDG,WR,32,14,11,0,0,0,0,0,0,0,,0,110,52,811,15.60,5,111,165.6,136.1,,36,,GrahJe00
107,Michael Bennett\BennMi00,MIN,RB,23,13,13,0,0,0,0,0,172,682,3.97,2,38,29,226,7.79,1,109,143.8,123.3,,29,,BennMi00
108,Matt Hasselbeck\HassMa00,SEA,QB,26,13,12,176,321,2023,7,8,40,141,3.53,0,0,0,0,,0,107,118.0,109.0,,30,,HassMa00
109,Kevan Barlow\BarlKe00,SFO,RB,22,15,0,0,0,0,0,0,125,512,4.10,4,28,22,247,11.23,1,106,133.4,115.9,,30,,BarlKe00
110,Edgerrin James\JameEd00,IND,RB,23,6,6,0,0,0,0,0,151,662,4.38,3,29,24,193,8.04,0,106,134.0,114.5,,31,,JameEd00
111,James Stewart\StewJa00,DET,RB,30,11,10,0,0,0,0,0,143,685,4.79,1,26,23,242,10.52,1,105,133.7,116.2,,32,,StewJa00
112,Ike Hilliard\HillIk00,NYG,WR,25,14,10,0,0,0,0,0,1,21,21.00,0,88,52,659,12.67,6,104,159.0,130.0,,37,,HillIk00
113,Larry Centers*\CentLa00,BUF,RB,33,16,13,0,0,0,0,0,34,160,4.71,2,105,80,620,7.75,2,102,187.0,140.0,,33,,CentLa00
114,J.J. Stokes\StokJ.00,SFO,WR,29,16,16,0,0,0,0,0,0,0,,0,90,54,585,10.83,7,101,157.5,127.5,,38,,StokJ.00
115,Rod Gardner\GardRo00,WAS,WR,24,16,16,0,0,0,0,0,1,16,16.00,0,101,46,741,16.11,4,100,148.2,121.7,,39,,GardRo00
116,Rocket Ismail\IsmaRa00,DAL,WR,32,14,13,0,0,0,0,0,8,31,3.88,0,93,53,834,15.74,2,99,154.5,125.0,,40,,IsmaRa00
117,Mike Anderson\AndeMi00,DEN,RB,28,16,7,0,0,0,0,0,175,678,3.87,4,12,8,46,5.75,0,98,108.9,101.4,,34,,AndeMi00
118,Trung Canidate\CaniTr00,STL,RB,24,16,2,0,0,0,0,0,78,441,5.65,6,23,17,154,9.06,0,96,117.0,101.0,,35,,CaniTr00
119,Richard Huntley\HuntRi00,CAR,RB,29,14,9,0,1,0,0,0,165,665,4.03,2,32,21,101,4.81,1,95,120.1,102.1,,36,,HuntRi00
120,Rob Johnson\JohnRo00,BUF,QB,28,8,8,134,216,1465,5,7,36,241,6.69,1,0,0,0,,0,95,104.7,95.7,,31,,JohnRo00
121,Darnay Scott\ScotDa00,CIN,WR,29,16,15,0,0,0,0,0,0,0,,0,103,57,819,14.37,2,94,153.9,122.4,,41,,ScotDa00
122,Bob Christian\ChriBo00,ATL,RB,33,16,8,0,0,0,0,0,44,284,6.45,2,60,45,392,8.71,2,92,142.6,114.1,,37,,ChriBo00
123,Terry Allen\AlleTe00,BAL,RB,33,11,8,0,0,0,0,0,168,658,3.92,3,20,17,68,4.00,0,91,110.1,98.1,,38,,AlleTe00
124,Joey Galloway\GallJo00,DAL,WR,30,16,16,1,1,-1,0,0,3,32,10.67,0,112,52,699,13.44,3,91,145.6,116.1,,43,,GallJo00
125,Michael Westbrook\WestMi00,WAS,WR,29,16,16,0,0,0,0,0,2,8,4.00,0,91,57,664,11.65,4,91,151.2,119.7,,42,,WestMi00
126,Jason Brookins\BrooJa01,BAL,RB,25,12,3,0,0,0,0,0,151,551,3.65,5,9,6,45,7.50,0,90,97.1,89.6,,39,,BrooJa01
127,James McKnight\McKnJa00,MIA,WR,29,16,15,0,0,0,0,0,6,39,6.50,0,90,55,684,12.44,3,90,146.8,114.8,,44,,McKnJa00
128,Joe Jurevicius\JureJo00,NYG,WR,27,14,9,0,0,0,0,0,0,0,,0,92,51,706,13.84,3,89,142.6,114.1,,46,,JureJo00
129,Ricky Proehl\ProeRi00,STL,WR,33,16,2,0,0,0,0,0,1,5,5.00,0,55,40,563,14.08,5,89,131.8,108.8,,45,,ProeRi00
130,Tony Richardson\RichTo00,KAN,RB,30,14,8,0,0,0,0,0,66,191,2.89,7,40,30,265,8.83,0,88,123.6,102.6,,40,,RichTo00
131,Oronde Gadsden\GadsOr00,MIA,WR,30,14,14,0,0,0,0,0,0,0,,0,93,55,674,12.25,3,85,142.9,111.9,,47,,GadsOr00
132,Correll Buckhalter\BuckCo00,PHI,RB,23,15,6,0,0,0,0,0,129,586,4.54,2,21,13,130,10.00,0,84,101.6,88.1,,41,,BuckCo00
133,Thomas Jones\JoneTh00,ARI,RB,23,16,2,0,0,0,0,0,112,380,3.39,5,24,21,151,7.19,0,83,109.1,91.6,,42,,JoneTh00
134,Todd Pinkston\PinkTo00,PHI,WR,24,15,15,0,0,0,0,0,1,5,5.00,0,84,42,586,13.95,4,83,128.1,104.1,,48,,PinkTo00
135,Chris Fuamatu-Ma'afala\FuamCh00,PIT,RB,24,16,5,0,0,0,0,0,120,453,3.78,3,20,16,127,7.94,1,82,104.0,90.0,,43,,FuamCh00
136,Wayne Chrebet\ChreWa00,NYJ,WR,28,15,15,0,0,0,0,0,0,0,,0,92,56,750,13.39,1,81,140.0,109.0,,49,,ChreWa00
137,Cory Schlesinger\SchlCo00,DET,RB,29,16,13,0,0,0,0,0,47,154,3.28,3,85,60,466,7.77,0,80,145.5,109.0,,44,,SchlCo00
138,James Allen\AlleJa00,CHI,RB,26,16,7,0,0,0,0,0,135,469,3.47,1,43,30,203,6.77,1,79,114.7,93.2,,45,,AlleJa00
139,Travis Taylor\TaylTr01,BAL,WR,22,16,13,0,0,0,0,0,5,46,9.20,0,90,42,560,13.33,3,79,123.6,99.6,,50,,TaylTr01
140,Terrell Davis\DaviTe00,DEN,RB,29,8,8,0,0,0,0,0,167,701,4.20,0,21,12,69,5.75,0,77,91.0,81.0,,46,,DaviTe00
141,Lamont Warren\WarrLa00,DET,RB,28,16,3,0,2,0,0,1,61,191,3.13,3,60,40,336,8.40,1,77,123.2,96.7,,47,,WarrLa00
142,Troy Hambrick\HambTr00,DAL,RB,25,16,11,0,0,0,0,0,113,579,5.12,2,12,4,62,15.50,0,76,82.6,77.1,,48,,HambTr00
143,Wesley Walls*\WallWe00,CAR,TE,35,14,14,0,0,0,0,0,0,0,,0,73,43,452,10.51,5,75,121.2,96.7,,12,,WallWe00
144,Frank Sanders\SandFr00,ARI,WR,28,15,13,0,1,0,0,0,0,0,,0,76,41,618,15.07,2,74,117.3,93.3,,52,,SandFr00
145,Peter Warrick\WarrPe00,CIN,WR,24,16,14,0,0,0,0,0,8,14,1.75,0,137,70,667,9.53,1,74,145.6,106.1,,51,,WarrPe00
146,James Jackson\JackJa00,CLE,RB,25,11,10,0,0,0,0,0,195,554,2.84,2,10,7,56,8.00,0,73,82.5,75.5,,49,,JackJa00
147,Tony Martin\MartTo00,ATL,WR,36,11,9,0,0,0,0,0,0,0,,0,77,37,548,14.81,3,73,112.8,91.3,,53,,MartTo00
148,Donald Hayes\HayeDo00,CAR,WR,26,16,15,0,0,0,0,0,0,0,,0,105,52,597,11.48,2,72,126.2,96.7,,54,,HayeDo00
149,Travis Minor\MinoTr00,MIA,RB,22,16,0,0,0,0,0,0,59,281,4.76,2,37,29,263,9.07,1,72,113.4,92.9,,50,,MinoTr00
150,Amos Zereoue\ZereAm00,PIT,RB,25,14,0,0,0,0,0,0,85,441,5.19,1,14,13,154,11.85,1,72,89.0,75.0,,51,,ZereAm00
151,Quincy Carter\CartQu00,DAL,QB,24,8,8,90,176,1072,5,7,45,150,3.33,1,0,0,0,,0,70,80.4,71.9,,32,,CartQu00
152,Tyrone Wheatley\WheaTy00,OAK,RB,29,11,2,0,0,0,0,0,88,276,3.14,5,16,12,61,5.08,1,70,83.2,72.7,,52,,WheaTy00
153,Shawn Jefferson\JeffSh00,ATL,WR,32,16,6,0,0,0,0,0,0,0,,0,65,37,539,14.57,2,68,107.9,86.4,,56,,JeffSh00
154,Terance Mathis\MathTe00,ATL,WR,34,16,16,0,0,0,0,0,0,0,,0,105,51,564,11.06,2,68,122.4,93.9,,55,,MathTe00
155,Michael Vick\VickMi00,ATL,QB,21,8,2,50,113,785,2,3,31,289,9.32,1,0,0,0,,0,68,74.3,65.3,,33,,VickMi00
156,Derrick Alexander\AlexDe00,KAN,WR,30,13,11,0,0,0,0,0,2,16,8.00,0,68,27,470,17.41,3,67,96.6,80.1,,58,,AlexDe00
157,Brian Finneran\FinnBr00,ATL,WR,25,16,1,0,0,0,0,0,0,0,,0,41,23,491,21.35,3,67,93.1,78.6,,57,,FinnBr00
158,Az-Zahir Hakim\HakiAz00,STL,WR,24,16,1,1,1,51,1,0,11,50,4.55,0,53,39,374,9.59,3,66,104.4,77.9,,59,,HakiAz00
159,David Terrell\TerrDa00,CHI,WR,22,16,6,0,0,0,0,0,0,0,,0,63,34,415,12.21,4,66,102.5,82.5,,60,,TerrDa00
160,Corey Bradford\BradCo00,GNB,WR,26,16,6,0,0,0,0,0,0,0,,0,58,31,526,16.97,2,65,98.1,79.1,,61,,BradCo00
161,Muhsin Muhammad\MuhaMu00,CAR,WR,28,11,11,0,0,0,0,0,0,0,,0,93,50,585,11.70,1,65,116.5,87.5,,62,,MuhaMu00
162,Trent Dilfer\DilfTr00,SEA,QB,29,6,4,73,122,1014,7,4,11,17,1.55,0,1,1,-5,-5.00,0,64,70.3,65.3,,34,,DilfTr00
163,Freddie Jones\JoneFr00,SDG,TE,27,14,9,0,0,0,0,0,0,0,,0,60,35,388,11.09,4,63,100.8,80.3,,13,,JoneFr00
164,Anthony Becht\BechAn00,NYJ,TE,24,16,15,0,0,0,0,0,0,0,,0,53,36,321,8.92,5,62,101.1,80.1,,14,,BechAn00
165,Todd Bouman\BoumTo00,MIN,QB,29,5,3,51,89,795,8,4,9,61,6.78,0,0,0,0,,0,62,68.4,64.9,,35,,BoumTo00
