Rk,X,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y.A,TD.1,Tgt,Rec,Yds.2,Y.R,TD.2,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,namecode
1,Marshall Faulk*+\FaulMa00,STL,RB,28,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,343,430.2,381.2,208,1,1,FaulMa00
2,Priest Holmes*+\HolmPr00,KAN,RB,28,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.90,2,277,342.9,303.9,142,2,2,HolmPr00
3,Ahman Green*\GreeAh00,GNB,RB,24,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,264,329.6,290.1,129,3,3,GreeAh00
4,Shaun Alexander\AlexSh00,SEA,RB,24,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.80,2,262,310.1,280.1,127,4,4,AlexSh00
5,Marvin Harrison*\HarrMa00,IND,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,164,109,1524,13.98,15,243,354.7,297.2,114,1,5,HarrMa00
6,Curtis Martin*\MartCu00,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,248,306.0,272.5,113,5,6,MartCu00
7,Terrell Owens*+\OwenTe00,SFO,WR,28,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,239,335.3,285.8,110,2,7,OwenTe00
8,Corey Dillon*\DillCo00,CIN,RB,27,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,230,268.8,243.3,95,6,8,DillCo00
9,Jeff Garcia*\GarcJe00,SFO,QB,31,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,,0,305,318.4,307.9,95,1,9,GarcJe00
10,Kurt Warner*+\WarnKu00,STL,QB,30,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,,0,301,321.2,313.2,91,2,10,WarnKu00
11,LaDainian Tomlinson\TomlLa00,SDG,RB,22,16,16,0,0,0,0,0,339,1236,3.65,10,74,59,367,6.22,0,220,281.3,241.8,85,7,11,TomlLa00
12,Ricky Williams\WillRi00,NOR,RB,24,16,16,0,0,0,0,0,313,1245,3.98,6,88,60,511,8.52,1,218,279.6,239.6,83,8,12,WillRi00
13,David Boston*+\BostDa00,ARI,WR,23,16,15,0,0,0,0,0,5,35,7.00,0,175,98,1598,16.31,8,211,311.8,259.3,82,3,13,BostDa00
14,Antowain Smith\SmitAn00,NWE,RB,29,16,15,0,0,0,0,0,287,1157,4.03,12,28,19,192,10.11,1,213,235.9,218.4,78,9,14,SmitAn00
15,Rod Smith*\SmitRo01,DEN,WR,31,15,14,0,0,0,0,0,3,27,9.00,0,172,113,1343,11.88,11,205,320.5,260.5,76,4,15,SmitRo01
16,Rich Gannon*\GannRi00,OAK,QB,36,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,0,,0,278,286.7,274.2,68,3,16,GannRi00
17,Steve McNair\McNaSt00,TEN,QB,28,15,15,264,431,3350,21,12,75,414,5.52,5,0,0,0,,0,271,286.9,278.4,61,4,17,McNaSt00
18,Stephen Davis\DaviSt00,WAS,RB,27,16,16,0,0,0,0,0,356,1432,4.02,5,37,28,205,7.32,0,196,226.7,203.7,61,10,18,DaviSt00
19,Randy Moss\MossRa00,MIN,WR,24,16,16,1,1,29,0,0,3,38,12.67,0,154,82,1233,15.04,10,188,273.3,229.3,59,5,19,MossRa00
20,Brett Favre*\FavrBr00,GNB,QB,32,16,16,314,510,3921,32,15,38,56,1.47,1,0,0,0,,0,268,278.4,267.4,58,5,20,FavrBr00
21,Tony Gonzalez*+\GonzTo00,KAN,TE,25,16,16,1,1,40,0,0,1,9,9.00,0,118,73,917,12.56,6,132,208.2,168.7,57,1,21,GonzTo00
22,Peyton Manning\MannPe00,IND,QB,25,16,16,343,547,4131,26,23,35,157,4.49,4,0,0,0,,0,267,292.4,282.9,57,6,22,MannPe00
23,Jimmy Smith*\SmitJi00,JAX,WR,32,16,16,0,0,0,0,0,1,-3,-3.00,0,176,112,1373,12.26,8,185,299.5,240.0,56,6,23,SmitJi00
24,Donovan McNabb*\McNaDo00,PHI,QB,25,16,16,285,493,3233,25,12,82,482,5.88,2,0,0,0,,0,266,279.5,269.5,55,7,24,McNaDo00
25,Dominic Rhodes\RhodDo00,IND,RB,22,15,10,0,0,0,0,0,233,1104,4.74,9,55,34,224,6.59,0,187,229.8,203.8,52,11,25,RhodDo00
26,Joe Horn*\HornJo00,NOR,WR,29,16,16,0,1,0,0,0,1,4,4.00,0,156,83,1265,15.24,9,181,266.4,221.4,52,7,26,HornJo00
27,Garrison Hearst*\HearGa00,SFO,RB,30,16,16,0,0,0,0,0,252,1206,4.79,4,55,41,347,8.46,1,185,231.8,204.8,50,12,27,HearGa00
28,Torry Holt*\HoltTo00,STL,WR,25,16,14,0,0,0,0,0,2,0,0.00,0,133,81,1363,16.83,7,178,261.3,216.8,49,8,28,HoltTo00
29,Aaron Brooks\BrooAa00,NOR,QB,25,16,16,312,558,3832,26,22,80,358,4.48,1,1,0,0,,0,257,278.6,266.1,47,8,29,BrooAa00
30,Marcus Pollard\PollMa00,IND,TE,29,16,16,0,0,0,0,0,0,0,,0,73,47,739,15.72,8,122,171.9,145.4,47,2,30,PollMa00
31,Tim Brown*\BrowTi00,OAK,WR,35,16,16,0,0,0,0,0,4,39,9.75,0,140,91,1165,12.80,9,174,273.9,224.9,45,9,31,BrowTi00
32,Anthony Thomas\ThomAn01,CHI,RB,24,14,10,0,0,0,0,0,278,1183,4.26,7,30,22,178,8.09,0,180,208.1,191.1,45,13,32,ThomAn01
33,Derrick Mason\MasoDe00,TEN,WR,27,15,15,0,0,0,0,0,0,0,,0,113,73,1128,15.45,9,169,249.8,209.3,40,10,33,MasoDe00
34,Jerry Rice\RiceJe00,OAK,WR,39,16,15,0,0,0,0,0,0,0,,0,125,83,1139,13.72,9,168,253.4,208.4,39,11,34,RiceJe00
35,Curtis Conway\ConwCu00,SDG,WR,30,16,16,0,0,0,0,0,7,116,16.57,1,126,71,1125,15.85,6,166,242.6,200.6,37,12,35,ConwCu00
36,Kevin Johnson\JohnKe01,CLE,WR,25,16,16,0,0,0,0,0,0,0,,0,129,84,1097,13.06,9,164,249.7,203.7,35,13,36,JohnKe01
37,Lamar Smith\SmitLa00,MIA,RB,31,16,16,0,0,0,0,0,313,968,3.09,6,35,30,234,7.80,2,168,201.2,177.2,33,14,37,SmitLa00
38,Tiki Barber\BarbTi00,NYG,RB,26,14,9,0,0,0,0,0,166,865,5.21,4,98,72,577,8.01,0,168,242.2,196.2,33,15,38,BarbTi00
39,Marty Booker\BookMa00,CHI,WR,25,16,16,1,2,34,1,0,4,8,2.00,0,157,100,1071,10.71,8,161,263.3,209.3,32,14,39,BookMa00
40,Kordell Stewart*\StewKo00,PIT,QB,29,16,16,266,442,3109,14,11,96,537,5.59,5,0,0,0,,0,242,253.6,242.1,32,9,40,StewKo00
41,Troy Brown*\BrowTr00,NWE,WR,30,16,13,0,0,0,0,0,11,91,8.27,0,142,101,1199,11.87,5,159,274.0,219.5,30,15,41,BrowTr00
42,Stacey Mack\MackSt00,JAX,RB,26,16,11,0,0,0,0,0,213,877,4.12,9,34,23,165,7.17,1,164,191.7,172.7,29,16,42,MackSt00
