Rk,X,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y.A,TD.1,Tgt,Rec,Yds.2,Y.R,TD.2,FantPt,DKPt,FDPt,VBD,PosRank,OvRank,namecode
1,Arian Foster*+\FostAr00,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,330,400.5,360.0,192,1,1,FostAr00
2,Peyton Hillis\HillPe00,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,244,306.9,266.4,106,2,2,HillPe00
3,Adrian Peterson*\PeteAd01,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,242,283.4,258.9,104,3,3,PeteAd01
4,Jamaal Charles*+\CharJa00,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,242,291.0,261.0,103,4,4,CharJa00
5,Chris Johnson*\JohnCh04,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,233,281.4,251.9,95,5,5,JohnCh04
6,Brandon Lloyd*\LloyBr00,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,209,289.0,247.5,92,1,6,LloyBr00
7,Dwayne Bowe*\BoweDw00,KAN,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,207,281.1,241.6,89,2,7,BoweDw00
8,Darren McFadden\McFaDa00,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,226,277.4,245.9,88,6,8,McFaDa00
9,Roddy White*+\WhitRo00,ATL,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,203,320.7,259.7,86,3,9,WhitRo00
10,Michael Vick*\VickMi00,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,316,322.8,311.3,85,1,10,VickMi00
11,Rashard Mendenhall\MendRa00,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,222,250.0,231.5,84,7,11,MendRa00
12,LeSean McCoy\McCoLe01,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,221,304.2,258.2,83,8,12,McCoLe01
13,Greg Jennings*\JennGr00,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,198,276.4,234.4,81,4,13,JennGr00
14,Matt Forte\FortMa00,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,218,273.1,240.1,80,9,14,FortMa00
15,Michael Turner*\TurnMi00,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,218,231.6,221.6,80,10,15,TurnMi00
16,Ray Rice\RiceRa00,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,214,282.6,245.1,76,11,16,RiceRa00
17,Aaron Rodgers\RodgAa00,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,306,321.5,313.5,75,2,17,RodgAa00
18,Mike Wallace\WallMi00,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,190,252.1,218.6,72,5,18,WallMi00
19,Calvin Johnson*\JohnCa00,DET,WR,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,189,268.7,226.7,72,6,19,JohnCa00
20,Tom Brady*+\BradTo00,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,301,306.5,302.0,70,3,20,BradTo00
21,Ahmad Bradshaw\BradAh00,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,205,254.4,221.4,67,12,21,BradAh00
22,Maurice Jones-Drew*\DrewMa00,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,204,244.1,220.1,66,13,22,DrewMa00
23,Steven Jackson*\JackSt00,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,198,249.9,220.4,60,14,23,JackSt00
24,Jason Witten*+\WittJa00,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,156,252.7,202.2,60,1,24,WittJa00
25,Philip Rivers*\RivePh00,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,290,302.1,295.6,58,4,25,RivePh00
26,Peyton Manning*\MannPe00,IND,QB,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,288,306.3,301.8,57,5,26,MannPe00
27,Reggie Wayne*+\WaynRe00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,172,285.0,226.0,54,7,27,WaynRe00
28,Hakeem Nicks\NickHa01,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,171,252.7,209.7,54,8,28,NickHa01
29,Andre Johnson*\JohnAn02,HOU,WR,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,171,259.1,212.6,53,9,29,JohnAn02
30,Steve Johnson\JohnSt00,BUF,WR,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,167,251.8,207.3,50,10,30,JohnSt00
31,BenJarvus Green-Ellis\GreeBe00,NWE,RB,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,187,202.3,193.3,49,15,31,GreeBe00
32,Mike Williams\WillMi04,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,162,228.9,191.9,45,11,32,WillMi04
33,Miles Austin*\AustMi00,DAL,WR,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,161,232.9,194.9,44,12,33,AustMi00
34,Jeremy Maclin\MaclJe00,PHI,WR,22,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,160,232.5,194.0,43,13,34,MaclJe00
35,Drew Brees*\BreeDr00,NOR,QB,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,273,294.7,286.7,42,6,35,BreeDr00
36,Antonio Gates*\GateAn00,SDG,TE,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,138,191.2,163.2,42,2,36,GateAn00
37,Cedric Benson\BensCe00,CIN,RB,28,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,179,209.4,185.9,41,16,37,BensCe00
38,DeSean Jackson*\JackDe00,PHI,WR,24,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,158,215.0,183.5,41,14,38,JackDe00
39,Vernon Davis\DaviVe00,SFO,TE,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,135,194.4,163.4,39,3,39,DaviVe00
40,Terrell Owens\OwenTe00,CIN,WR,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,152,227.3,188.3,35,15,40,OwenTe00
41,Larry Fitzgerald*\FitzLa00,ARI,WR,27,16,15,0,0,0,0,0,0,0,,0,173,90,1137,12.63,6,152,244.7,196.7,34,16,41,FitzLa00
42,Marcedes Lewis*\LewiMa00,JAX,TE,26,16,16,0,0,0,0,0,0,0,,0,89,58,700,12.07,10,130,190.0,157.0,34,4,42,LewiMa00
43,Josh Freeman\FreeJo00,TAM,QB,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,0,,0,264,272.9,263.4,33,7,43,FreeJo00
44,Mario Manningham\MannMa01,NYG,WR,24,16,8,0,0,0,0,0,1,2,2.00,0,93,60,944,15.73,9,149,211.1,177.6,31,17,44,MannMa01
45,Santana Moss\MossSa00,WAS,WR,31,16,16,0,0,0,0,0,5,-6,-1.20,0,145,93,1115,11.99,6,147,241.4,190.4,30,18,45,MossSa00
46,Matt Ryan*\RyanMa00,ATL,QB,25,16,16,357,571,3705,28,9,46,122,2.65,0,0,0,0,,0,258,271.4,263.4,27,8,46,RyanMa00
47,Marques Colston\ColsMa00,NOR,WR,27,15,11,0,0,0,0,0,1,1,1.00,0,131,84,1023,12.18,7,144,231.4,186.4,27,19,47,ColsMa00
48,LaDainian Tomlinson\TomlLa00,NYJ,RB,31,15,13,0,0,0,0,0,219,914,4.17,6,79,52,368,7.08,0,164,220.7,187.2,26,17,48,TomlLa00
49,Knowshon Moreno\MoreKn00,DEN,RB,23,13,13,0,0,0,0,0,182,779,4.28,5,48,37,372,10.05,3,163,204.6,178.6,25,18,49,MoreKn00
50,Mike Tolbert\TolbMi00,SDG,RB,25,15,4,0,0,0,0,0,182,735,4.04,11,29,25,216,8.64,0,163,191.6,170.6,25,19,50,TolbMi00
51,Frank Gore\GoreFr00,SFO,RB,27,11,11,0,0,0,0,0,203,853,4.20,3,72,46,452,9.83,2,161,210.5,179.5,22,20,51,GoreFr00
52,Matt Schaub\SchaMa00,HOU,QB,29,16,16,365,574,4370,24,12,22,28,1.27,0,0,0,0,,0,252,262.1,254.6,20,9,52,SchaMa00
53,Rob Gronkowski\GronRo00,NWE,TE,21,16,11,0,0,0,0,0,0,0,,0,59,42,546,13.00,10,115,159.1,134.6,18,5,53,GronRo00
54,Percy Harvin\HarvPe00,MIN,WR,22,14,13,0,0,0,0,0,18,107,5.94,1,109,71,868,12.23,5,136,218.0,176.0,18,20,54,HarvPe00
55,Fred Jackson\JackFr02,BUF,RB,29,16,13,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,156,190.7,166.7,18,21,55,JackFr02
56,Braylon Edwards\EdwaBr00,NYJ,WR,27,16,15,0,0,0,0,0,1,4,4.00,0,101,53,904,17.06,7,135,190.3,160.3,17,21,56,EdwaBr00
57,Kenny Britt\BritKe00,TEN,WR,22,12,7,0,0,0,0,0,0,0,,0,73,42,775,18.45,9,134,178.0,153.5,16,22,57,BritKe00
58,Eli Manning\MannEl00,NYG,QB,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,0,,0,241,265.6,259.1,10,10,58,MannEl00
59,Wes Welker*\WelkWe00,NWE,WR,29,15,11,0,0,0,0,0,0,0,,0,123,86,848,9.86,7,127,215.3,169.8,9,23,59,WelkWe00
60,Johnny Knox\KnoxJo00,CHI,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,100,51,960,18.82,5,126,179.7,150.7,9,24,60,KnoxJo00
61,Chris Cooley\CoolCh00,WAS,TE,28,16,16,0,0,0,0,0,0,0,,0,126,77,849,11.03,3,105,183.4,140.4,9,6,61,CoolCh00
62,Anquan Boldin\BoldAn00,BAL,WR,30,16,16,1,1,-6,0,0,2,2,1.00,0,109,64,837,13.08,7,126,192.2,156.7,8,25,62,BoldAn00
63,Joe Flacco\FlacJo00,BAL,QB,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,0,,0,239,247.8,240.3,8,11,63,FlacJo00
64,Lance Moore\MoorLa00,NOR,WR,27,16,1,0,0,0,0,0,0,0,,0,94,66,763,11.56,8,124,192.3,155.3,7,26,64,MoorLa00
65,Kellen Winslow\WinsKe01,TAM,TE,27,16,11,0,0,0,0,0,0,0,,0,98,66,730,11.06,5,103,171.5,135.0,7,7,65,WinsKe01
66,Tony Gonzalez*\GonzTo00,ATL,TE,34,16,16,0,0,0,0,0,0,0,,0,108,70,656,9.37,6,102,174.6,136.6,5,8,66,GonzTo00
