Rank,Player,PlayerName,Position,Team,Bye,Stock,Auction Value ($)
1,Antonio BrownWR - PITView News,Antonio Brown,WR,PIT,8,even,62
2,Odell BeckhamWR - NYG,Odell Beckham,WR,NYG,8,even,61
3,Julio JonesWR - ATL,Julio Jones,WR,ATL,11,even,59
4,David JohnsonRB - ARI,David Johnson,RB,ARI,9,even,51
5,Todd GurleyRB - LAView Video,Todd Gurley,RB,LAV,8,even,50
6,A.J. GreenWR - CINView Video,A.J. Green,WR,CIN,9,even,49
7,Adrian PetersonRB - MINView Video,Adrian Peterson,RB,MIN,6,even,48
8,Ezekiel ElliottRB - DAL,Ezekiel Elliott,RB,DAL,7,even,47
9,Rob GronkowskiTE - NE,Rob Gronkowski,TE,NE,9,even,46
10,Dez BryantWR - DAL,Dez Bryant,WR,DAL,7,even,46
11,DeAndre HopkinsWR - HOU,DeAndre Hopkins,WR,HOU,9,even,45
12,Lamar MillerRB - HOUView Video,Lamar Miller,RB,HOU,9,even,45
13,Devonta FreemanRB - ATLView Video,Devonta Freeman,RB,ATL,11,even,42
14,Allen RobinsonWR - JAX,Allen Robinson,WR,JAX,5,even,42
15,Jordy NelsonWR - GB,Jordy Nelson,WR,GB,4,even,39
16,Eddie LacyRB - GBView Video,Eddie Lacy,RB,GBV,4,even,38
17,Jamaal CharlesRB - KCView NewsView Video,Jamaal Charles,RB,KCV,5,even,35
18,Keenan AllenWR - SD,Keenan Allen,WR,SD,11,even,34
19,Mark IngramRB - NO,Mark Ingram,RB,NO,5,even,33
20,Doug MartinRB - TBView Video,Doug Martin,RB,TBV,6,even,33
21,Alshon JefferyWR - CHI,Alshon Jeffery,WR,CHI,9,even,32
22,Brandon MarshallWR - NYJ,Brandon Marshall,WR,NYJ,11,even,32
23,Mike EvansWR - TB,Mike Evans,WR,TB,6,even,32
24,LeSean McCoyRB - BUF,LeSean McCoy,RB,BUF,10,even,31
25,Aaron RodgersQB - GB,Aaron Rodgers,QB,GB,4,even,31
26,Cam NewtonQB - CARView Video,Cam Newton,QB,CAR,7,even,31
27,Amari CooperWR - OAKView Video,Amari Cooper,WR,OAK,10,even,28
28,Demaryius ThomasWR - DEN,Demaryius Thomas,WR,DEN,11,even,28
29,Le'Veon BellRB - PIT,Le'Veon Bell,RB,PIT,8,even,27
30,C.J. AndersonRB - DEN,C.J. Anderson,RB,DEN,11,even,27
31,Carlos HydeRB - SFView News,Carlos Hyde,RB,SFV,8,even,26
32,Matt ForteRB - NYJ,Matt Forte,RB,NYJ,11,even,25
33,Sammy WatkinsWR - BUFView NewsView Video,Sammy Watkins,WR,BUF,10,even,25
34,Jarvis LandryWR - MIA,Jarvis Landry,WR,MIA,8,even,25
35,Brandin CooksWR - NOView Video,Brandin Cooks,WR,NOV,5,even,24
36,Ryan MathewsRB - PHI,Ryan Mathews,RB,PHI,4,even,24
37,Jonathan StewartRB - CAR,Jonathan Stewart,RB,CAR,7,even,24
38,Jeremy MaclinWR - KC,Jeremy Maclin,WR,KC,5,even,24
39,Julian EdelmanWR - NE,Julian Edelman,WR,NE,9,even,23
40,Russell WilsonQB - SEA,Russell Wilson,QB,SEA,5,even,23
41,Jordan ReedTE - WAS,Jordan Reed,TE,WAS,9,even,23
42,Randall CobbWR - GB,Randall Cobb,WR,GB,4,even,22
43,T.Y. HiltonWR - IND,T.Y. Hilton,WR,IND,10,even,22
