RANK	PLAYER	TEAM	BYE
1	Adrian Peterson	MIN	6
2	Todd Gurley	LA	8
3	Ezekiel Elliott	DAL	7
4	David Johnson	ARI	9
5	Devonta Freeman	ATL	11
6	Le'Veon Bell	PIT	8
7	Lamar Miller	HOU	9
8	Doug Martin	TB	6
9	Mark Ingram	NO	5
10	Eddie Lacy	GB	4
11	LeSean McCoy	BUF	10
12	Jonathan Stewart	CAR	7
13	Carlos Hyde	SF	8
14	C.J	Anderson	DEN	11
15	Jamaal Charles	KC	5
16	Thomas Rawls	SEA	5
17	Matt Forte	NYJ	11
18	Jeremy Hill	CIN	9
19	Latavius Murray	OAK	10
20	Ryan Mathews	PHI	4
21	DeMarco Murray	TEN	13
22	Jeremy Langford	CHI	9
23	Matt Jones	WAS	9
24	Melvin Gordon	SD	11
25	Duke Johnson Jr.	CLE	13
26	Danny Woodhead	SD	11
27	Frank Gore	IND	10
28	Rashad Jennings	NYG	8
29	T.J	Yeldon	JAC	5
30	Giovani Bernard	CIN	9
31	Arian Foster	MIA	8
32	Ameer Abdullah	DET	10
33	Chris Ivory	JAC	5
34	Derrick Henry	TEN	13
35	DeAngelo Williams	PIT	8
36	Bilal Powell	NYJ	11
37	Jay Ajayi	MIA	8
38	Theo Riddick	DET	10
39	Justin Forsett	BAL	8
40	Charles Sims	TB	6
41	Isaiah Crowell	CLE	13
42	James Starks	GB	4
43	LeGarrette Blount	NE	9
44	Tevin Coleman	ATL	11
45	Devontae Booker	DEN	11
46	Darren Sproles	PHI	4
47	James White	NE	9
48	Jerick McKinnon	MIN	6
49	Christine Michael	SEA	5
50	DeAndre Washington	OAK	10
51	Shane Vereen	NYG	8
52	Spencer Ware	KC	5
53	Terrance West	BAL	8
54	Kenneth Dixon	BAL	8
55	C.J	Prosise	SEA	5
56	Chris Johnson	ARI	9
57	Jordan Howard	CHI	9
58	Alfred Morris	DAL	7
59	Tim Hightower	NO	5
60	Wendell Smallwood	PHI	4
61	Paul Perkins	NYG	8
62	Javorius Allen	BAL	8
63	Reggie Bush	BUF	10
64	Dion Lewis	NE	9
65	Charcandrick West	KC	5
66	Shaun Draughn	SF	8
67	Ka'Deem Carey	CHI	9
68	Benjamin Cunningham	LA	8
69	Kenyan Drake	MIA	8
70	Robert Turbin	IND	10
71	Chris Thompson	WAS	9
72	C.J	Spiller	NO	5
73	Cameron Artis-Payne	CAR	7
74	Keith Marshall	WAS	9
75	Mike Gillislee	BUF	10
76	Andre Ellington	ARI	9
77	Tyler Ervin	HOU	9
78	Branden Oliver	SD	11
79	Khiry Robinson	NYJ	11
80	Ronnie Hillman	DEN	11
81	Darren McFadden	DAL	7
82	Lance Dunbar	DAL	7
83	Zach Zenner	DET	10
84	Andre Williams	NYG	8
85	Fozzy Whittaker	CAR	7
86	Mike Davis	SF	8
87	Malcolm Brown	LA	8
88	Alfred Blue	HOU	9
89	Josh Ferguson	IND	10
90	Alex Collins	SEA	5
91	Karlos Williams	FA	--
92	Dexter McCluster	TEN	13
93	Jonathan Williams	BUF	10
94	Mike Tolbert	CAR	7
95	Fitzgerald Toussaint	PIT	8
96	Kenjon Barner	PHI	4
97	Jacquizz Rodgers	CHI	9
98	Dwayne Washington	DET	10
99	Stevan Ridley	IND	10
100	David Cobb	TEN	13
