RANK	PLAYER	TEAM	BYE
1	Stephen Gostkowski	NE	9
2	Steven Hauschka	SEA	5
3	Dan Bailey	DAL	7
4	Justin Tucker	BAL	8
5	Adam Vinatieri	IND	10
6	Mason Crosby	GB	4
7	Graham Gano	CAR	7
8	Blair Walsh	MIN	6
9	Chandler Catanzaro	ARI	9
10	Matt Prater	DET	10
11	Roberto Aguayo	TB	6
12	Chris Boswell	PIT	8
13	Cairo Santos	KC	5
14	Robbie Gould	CHI	9
15	Josh Brown	NYG	8
16	Brandon McManus	DEN	11
17	Matt Bryant	ATL	11
18	Nick Novak	HOU	9
19	Dan Carpenter	BUF	10
20	Mike Nugent	CIN	9
21	Dustin Hopkins	WAS	9
22	Phil Dawson	SF	8
23	Sebastian Janikowski	OAK	10
24	Josh Lambo	SD	11
25	Connor Barth	NO	5
26	Jason Myers	JAC	5
27	Nick Folk	NYJ	11
28	Cody Parkey	PHI	4
29	Andrew Franks	MIA	8
30	Patrick Murray	CLE	13
31	Ryan Succop	TEN	13
32	Greg Zuerlein	LA	8
