,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
19,Drew Bennett\BennDr00,TEN,WR,26,16,16,1,1,26,1,0,1,12,12.00,0,144,80,1247,15.59,11,197,278.4,233.9,70,7,19
20,Rudi Johnson*\JohnRu00,CIN,RB,25,16,16,0,0,0,0,0,361,1454,4.03,12,28,15,84,5.60,0,226,241.8,229.3,68,8,20
21,Jason Witten*\WittJa00,DAL,TE,22,16,15,0,0,0,0,0,0,0,,0,122,87,980,11.26,6,136,225.0,177.5,67,3,21
22,Reggie Wayne\WaynRe00,IND,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,115,77,1210,15.71,12,193,272.6,231.1,65,8,22
23,Chad Johnson*\JohnCh01,CIN,WR,26,16,16,0,0,0,0,0,4,39,9.75,0,170,95,1274,13.41,9,185,282.8,231.8,58,9,23
24,Willis McGahee\McGaWi00,BUF,RB,23,16,11,0,0,0,0,0,284,1128,3.97,13,36,22,169,7.68,0,208,233.7,214.7,50,9,24
25,Donald Driver\DrivDo00,GNB,WR,29,16,11,0,0,0,0,0,3,4,1.33,0,137,84,1208,14.38,9,177,263.2,217.2,50,10,25
26,Brian Westbrook*\WestBr00,PHI,RB,25,13,12,0,0,0,0,0,177,812,4.59,3,87,73,703,9.63,6,206,284.0,241.0,48,10,26
27,Alge Crumpler*\CrumAl00,ATL,TE,27,14,14,0,0,0,0,0,0,0,,0,74,48,774,16.13,6,113,163.9,136.4,44,4,27
28,Clinton Portis\PortCl00,WAS,RB,23,15,15,1,2,15,1,0,343,1315,3.83,5,57,40,235,5.88,2,202,245.1,216.6,44,11,28
29,Priest Holmes\HolmPr00,KAN,RB,31,8,8,0,0,0,0,0,196,892,4.55,14,25,19,187,9.84,1,198,220.9,203.4,41,12,29
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
30,Brandon Stokley\StokBr00,IND,WR,28,16,3,0,0,0,0,0,0,0,,0,102,68,1077,15.84,10,168,238.2,200.7,40,11,30
31,Ahman Green*\GreeAh00,GNB,RB,27,15,15,1,1,20,1,0,259,1163,4.49,7,51,40,275,6.88,1,197,239.1,209.6,39,13,31
32,Reuben Droughns\DrouRe00,DEN,RB,26,16,15,0,0,0,0,0,275,1240,4.51,6,44,32,241,7.53,2,196,231.6,207.1,39,14,32
33,Isaac Bruce\BrucIs00,STL,WR,32,16,16,0,2,0,0,0,0,0,,0,148,89,1292,14.52,6,165,254.7,204.7,38,12,33
34,Michael Clayton\ClayMi00,TAM,WR,22,16,13,0,0,0,0,0,5,30,6.00,0,122,80,1193,14.91,7,164,246.8,203.3,37,13,34
35,Warrick Dunn\DunnWa00,ATL,RB,29,16,16,0,0,0,0,0,265,1106,4.17,9,39,29,294,10.14,0,194,227.5,205.5,37,15,35
36,Darrell Jackson\JackDa00,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,156,87,1199,13.78,7,164,252.9,205.4,37,14,36
37,Randy McMichael\McMiRa01,MIA,TE,25,16,16,0,0,0,0,0,0,0,,0,118,73,791,10.84,4,105,180.1,139.6,36,5,37
38,Trent Green\GreeTr00,KAN,QB,34,16,16,369,556,4591,27,17,25,85,3.40,0,0,0,0,,0,268,282.6,274.1,35,4,38
39,Michael Pittman\PittMi00,TAM,RB,29,13,13,0,0,0,0,0,219,926,4.23,7,65,41,391,9.54,3,192,235.7,206.2,34,16,39
40,Nate Burleson\BurlNa00,MIN,WR,23,16,15,0,0,0,0,0,6,49,8.17,0,102,68,1006,14.79,9,162,238.0,200.5,34,15,40
41,Jeremy Shockey\ShocJe00,NYG,TE,24,15,15,0,0,0,0,0,0,0,,0,97,61,666,10.92,6,103,166.1,132.1,33,6,41
42,Eddie Kennison\KennEd00,KAN,WR,31,14,14,0,0,0,0,0,2,15,7.50,0,106,62,1086,17.52,8,160,224.6,190.1,33,16,42
43,Rod Smith\SmitRo01,DEN,WR,34,16,16,0,0,0,0,0,5,33,6.60,0,136,79,1144,14.48,7,160,239.7,195.2,32,17,43
44,Derrick Mason\MasoDe00,TEN,WR,30,16,16,0,0,0,0,0,1,-3,-3.00,0,158,96,1168,12.17,7,159,256.5,204.5,31,18,44
45,Deuce McAllister\McAlDe00,NOR,RB,26,14,14,0,0,0,0,0,269,1074,3.99,9,48,34,228,6.71,0,184,221.7,196.2,27,17,45
46,Randy Moss\MossRa00,MIN,WR,27,13,13,1,2,37,0,1,0,0,,0,86,49,767,15.65,13,154,206.7,178.7,27,19,46
47,Jerry Porter\PortJe00,OAK,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,136,64,998,15.59,9,153,219.4,183.4,26,20,47
48,Jake Delhomme\DelhJa00,CAR,QB,29,16,16,310,533,3886,29,15,25,71,2.84,1,0,0,0,,0,259,270.5,261.5,26,5,48
49,Jimmy Smith\SmitJi00,JAX,WR,35,16,16,0,0,0,0,0,0,0,,0,137,74,1172,15.84,6,153,229.2,188.2,26,21,49
50,Jermaine Wiggins\WiggJe00,MIN,TE,29,14,13,0,0,0,0,0,0,0,,0,92,71,705,9.93,4,95,168.0,129.0,25,8,50
51,Eric Johnson\JohnEr00,SFO,TE,25,16,14,0,0,0,0,0,0,0,,0,117,82,825,10.06,2,95,179.0,134.5,25,7,51
52,Jake Plummer\PlumJa00,DEN,QB,30,16,16,303,521,4089,27,20,62,202,3.26,1,0,0,0,,0,258,280.8,271.8,25,6,52
53,Brett Favre\FavrBr00,GNB,QB,35,16,16,346,540,4088,30,17,16,36,2.25,0,0,0,0,,0,257,275.1,270.1,24,7,53
54,Andre Johnson*\JohnAn02,HOU,WR,23,16,16,0,0,0,0,0,4,12,3.00,0,138,79,1142,14.46,6,151,232.9,189.9,24,22,54
55,Jerome Bettis*\BettJe00,PIT,RB,32,15,6,1,1,10,1,0,250,941,3.76,13,8,6,46,7.67,0,181,189.6,183.1,24,18,55
56,Ashley Lelie\LeliAs00,DEN,WR,24,16,16,0,0,0,0,0,3,5,1.67,0,101,54,1084,20.07,7,151,207.9,177.9,24,23,56
57,Thomas Jones\JoneTh00,CHI,RB,26,14,14,0,0,0,0,0,240,948,3.95,7,72,56,427,7.63,0,180,240.5,205.5,22,19,57
58,Lee Evans\EvanLe00,BUF,WR,23,16,11,0,0,0,0,0,5,85,17.00,0,74,48,843,17.56,9,147,197.3,169.8,19,24,58
59,Fred Taylor\TaylFr00,JAX,RB,28,14,14,0,0,0,0,0,260,1224,4.71,2,58,36,345,9.58,1,175,215.4,189.9,18,20,59
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
60,Aaron Brooks\BrooAa00,NOR,QB,28,16,16,309,542,3810,21,16,58,173,2.98,4,1,1,1,1.00,0,248,264.3,251.3,15,8,60
61,Chris Chambers\ChamCh00,MIA,WR,26,15,15,0,0,0,0,0,9,76,8.44,0,140,69,898,13.01,7,141,212.9,174.9,14,25,61
62,Drew Brees*\BreeDr00,SDG,QB,25,15,15,262,400,3159,27,7,53,85,1.60,2,1,1,38,38.00,0,245,252.2,245.2,12,9,62
63,Marc Bulger\BulgMa00,STL,QB,27,14,14,321,485,3964,21,14,19,89,4.68,3,0,0,0,,0,243,258.0,252.5,11,10,63
64,Kevin Jones\JoneKe02,DET,RB,22,15,14,0,0,0,0,0,241,1133,4.70,5,41,28,180,6.43,1,167,200.3,179.3,10,21,64
65,Daniel Graham\GrahDa00,NWE,TE,26,14,14,0,0,0,0,0,0,0,,0,48,30,364,12.13,7,78,111.4,93.4,9,9,65
66,Bubba Franks\FranBu00,GNB,TE,26,16,14,0,0,0,0,0,0,0,,0,50,34,361,10.62,7,78,115.1,95.1,9,10,66
67,Eric Moulds\MoulEr00,BUF,WR,31,16,16,0,0,0,0,0,5,19,3.80,0,152,88,1043,11.85,5,136,226.7,179.2,9,26,67
68,Nick Goings\GoinNi00,CAR,RB,26,16,8,0,0,0,0,0,217,821,3.78,6,61,45,394,8.76,1,164,214.0,185.0,6,22,68
69,Keyshawn Johnson\JohnKe00,DAL,WR,32,16,16,0,2,0,0,1,2,13,6.50,0,124,70,981,14.01,6,133,206.9,168.4,6,27,69
70,Emmitt Smith\SmitEm00,ARI,RB,35,15,15,1,1,21,1,0,267,937,3.51,9,20,15,105,7.00,0,163,182.0,166.5,6,23,70
71,Hines Ward*\WardHi00,PIT,WR,28,16,16,0,0,0,0,0,7,25,3.57,1,108,80,1004,12.55,4,133,215.4,171.9,6,28,71
72,Dallas Clark\ClarDa00,IND,TE,25,15,13,0,0,0,0,0,0,0,,0,39,25,423,16.92,5,72,99.3,82.8,3,11,72
73,Roy Williams\WillRo04,DET,WR,23,14,12,0,1,0,0,0,1,1,1.00,0,118,54,817,15.13,8,130,186.3,155.8,2,29,73
74,Tom Brady*\BradTo00,NWE,QB,27,16,16,288,474,3692,28,14,43,28,0.65,0,0,0,0,,0,234,248.0,241.5,2,11,74
75,Michael Vick*\VickMi00,ATL,QB,24,15,15,181,321,2313,14,12,120,902,7.52,3,0,0,0,,0,233,242.7,228.7,,12,75
76,Jeb Putzier\PutzJe00,DEN,TE,25,16,5,0,0,0,0,0,0,0,,0,54,36,572,15.89,2,69,108.2,87.2,,12,76
77,Tom Lopienski\LopiTo20,IND,,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,3,77
78,Chris Brown\BrowCh03,TEN,RB,23,11,11,0,0,0,0,0,220,1067,4.85,6,33,20,147,7.35,0,157,180.4,161.4,,24,78
79,Matt Hasselbeck\HassMa00,SEA,QB,29,14,14,279,474,3382,22,15,27,90,3.33,1,0,0,0,,0,212,227.8,222.3,,13,
80,David Carr\CarrDa00,HOU,QB,25,16,16,285,466,3531,16,14,73,299,4.10,0,0,0,0,,0,207,222.1,211.1,,14,
81,Joey Harrington\HarrJo00,DET,QB,26,16,16,274,489,3047,19,12,48,175,3.65,0,0,0,0,,0,193,208.4,199.4,,15,
82,Byron Leftwich\LeftBy00,JAX,QB,24,14,14,267,441,2941,15,10,39,148,3.79,2,1,1,-7,-7.00,0,192,206.2,197.2,,16,
83,Kerry Collins\CollKe00,OAK,QB,32,14,13,289,513,3495,21,20,16,36,2.25,0,0,0,0,,0,187,206.9,200.4,,17,
84,Vinny Testaverde\TestVi00,DAL,QB,41,16,15,297,495,3532,17,20,21,38,1.81,1,0,0,0,,0,181,200.1,193.1,,18,
85,Chad Pennington\PennCh01,NYJ,QB,28,13,13,242,370,2673,16,9,34,126,3.71,1,0,0,0,,0,172,184.0,175.5,,19,
86,Ben Roethlisberger\RoetBe00,PIT,QB,22,14,13,196,295,2621,17,11,56,144,2.57,1,0,0,0,,0,171,187.2,180.2,,20,
87,Drew Bledsoe\BledDr00,BUF,QB,32,16,16,256,450,2932,20,16,22,37,1.68,0,0,0,0,,0,169,183.5,176.0,,21,
88,Brian Griese\GrieBr00,TAM,QB,29,11,10,233,336,2632,20,12,30,17,0.57,0,1,1,-4,-4.00,0,163,175.6,169.1,,23,
89,Carson Palmer\PalmCa00,CIN,QB,25,13,13,263,432,2897,18,18,18,47,2.61,1,0,0,0,,0,163,182.6,178.6,,22,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
90,Billy Volek\VoleBi00,TEN,QB,28,10,8,218,357,2486,18,10,11,50,4.55,1,1,1,0,0.00,0,162,173.4,166.9,,24,
91,Kyle Boller\BollKy00,BAL,QB,23,16,16,258,464,2559,13,11,53,189,3.57,1,0,0,0,,0,159,170.8,159.3,,25,
92,Jamal Lewis\LewiJa00,BAL,RB,25,12,12,0,0,0,0,0,235,1006,4.28,7,12,10,116,11.60,0,154,169.2,157.2,,25,
93,Larry Johnson\JohnLa00,KAN,RB,25,10,3,0,0,0,0,0,120,581,4.84,9,29,22,278,12.64,2,152,179.9,162.9,,26,
94,Josh McCown\McCoJo01,ARI,QB,25,14,13,233,408,2511,11,10,36,112,3.11,2,1,1,-5,-5.00,0,149,160.1,147.6,,26,
95,Kevan Barlow\BarlKe00,SFO,RB,25,15,14,0,0,0,0,0,244,822,3.37,7,45,35,212,6.06,0,145,185.4,160.9,,27,
96,Marshall Faulk\FaulMa00,STL,RB,31,14,14,0,0,0,0,0,195,774,3.97,3,65,50,310,6.20,1,136,191.4,159.4,,28,
97,Julius Jones\JoneJu01,DAL,RB,23,8,7,0,0,0,0,0,197,819,4.16,7,26,17,109,6.41,0,135,156.3,140.3,,29,
98,Derrick Blaylock\BlayDe00,KAN,RB,25,12,5,0,0,0,0,0,118,539,4.57,8,36,25,246,9.84,1,133,163.5,145.0,,30,
99,Larry Fitzgerald\FitzLa00,ARI,WR,21,16,16,0,0,0,0,0,8,14,1.75,0,115,58,780,13.45,8,127,187.9,155.4,,30,
100,T.J. Houshmandzadeh\HousTJ00,CIN,WR,27,16,13,0,0,0,0,0,6,51,8.50,0,108,73,978,13.40,4,127,202.9,163.4,,31,
101,David Patten\PattDa00,NWE,WR,30,16,11,0,0,0,0,0,1,5,5.00,0,95,44,800,18.18,7,123,169.5,144.5,,32,
102,Jeff Garcia\GarcJe00,CLE,QB,34,11,10,144,252,1731,10,9,35,169,4.83,2,0,0,0,,0,120,130.6,120.1,,27,
103,Onterrio Smith\SmitOn00,MIN,RB,24,11,6,0,0,0,0,0,124,544,4.39,2,45,36,394,10.94,2,120,160.8,135.8,,31,
104,Tim Rattay\RattTi00,SFO,QB,27,9,9,198,325,2169,10,10,12,55,4.58,0,0,0,0,,0,118,125.8,117.3,,28,
105,Santana Moss\MossSa00,NYJ,WR,25,15,14,0,0,0,0,0,6,18,3.00,0,78,45,838,18.62,5,116,162.6,136.1,,33,
106,Marcus Robinson\RobiMa00,MIN,WR,29,16,7,0,0,0,0,0,0,0,,0,79,47,657,13.98,8,114,163.2,136.2,,34,
107,Steven Jackson\JackSt00,STL,RB,21,14,3,0,0,0,0,0,134,673,5.02,4,24,19,189,9.95,0,112,136.7,120.7,,32,
108,Donte' Stallworth\StalDo00,NOR,WR,24,16,10,0,0,0,0,0,6,37,6.17,0,106,58,767,13.22,5,110,171.4,139.4,,35,
109,Lee Suggs\SuggLe00,CLE,RB,24,10,3,0,0,0,0,0,199,744,3.74,2,36,20,178,8.90,1,110,133.2,114.2,,33,
110,Keary Colbert\ColbKe00,CAR,WR,22,15,15,0,0,0,0,0,0,0,,0,92,47,754,16.04,5,107,156.9,129.9,,36,
111,Kurt Warner\WarnKu00,NYG,QB,33,10,9,174,277,2054,6,4,13,30,2.31,1,0,0,0,,0,107,108.2,99.2,,29,
112,Antonio Bryant\BryaAn00,2TM,WR,23,15,8,0,0,0,0,0,0,0,,0,99,58,812,14.00,4,105,165.7,133.2,,38,
113,David Givens\GiveDa00,NWE,WR,24,15,12,0,0,0,0,0,0,0,,0,106,56,874,15.61,3,105,164.4,133.4,,37,
114,Ronald Curry\CurrRo01,OAK,WR,25,12,3,0,1,0,0,0,1,-3,-3.00,0,70,50,679,13.58,6,104,156.1,127.6,,39,
115,Johnnie Morton\MortJo00,KAN,WR,33,13,12,0,0,0,0,0,7,43,6.14,0,79,55,795,14.45,3,102,158.8,127.3,,40,
116,Chester Taylor\TaylCh01,BAL,RB,25,16,4,0,0,0,0,0,160,714,4.46,2,38,30,184,6.13,0,102,137.3,115.8,,34,
117,Laveranues Coles\ColeLa00,WAS,WR,27,16,16,0,0,0,0,0,3,-3,-1.00,0,168,90,950,10.56,1,101,193.2,144.7,,41,
118,A.J. Feeley\FeelA.00,MIA,QB,27,11,8,191,356,1893,11,15,14,13,0.93,1,0,0,0,,0,101,114.0,106.0,,30,
119,Justin McCareins\McCaJu00,NYJ,WR,26,16,16,0,0,0,0,0,2,-5,-2.50,0,90,56,770,13.75,4,101,158.0,125.5,,42,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
120,Sammy Morris\MorrSa00,MIA,RB,27,13,8,0,0,0,0,0,132,523,3.96,6,28,22,124,5.64,0,101,128.2,110.7,,35,
121,Plaxico Burress\BurrPl00,PIT,WR,27,11,11,0,0,0,0,0,0,0,,0,59,35,698,19.94,5,100,137.3,116.3,,43,
122,T.J. Duckett\DuckT.00,ATL,RB,23,13,0,0,0,0,0,0,104,509,4.89,8,3,3,15,5.00,0,100,105.4,99.9,,36,
123,Eric Parker\ParkEr00,SDG,WR,25,15,13,0,0,0,0,0,4,53,13.25,0,71,47,690,14.68,4,98,145.8,116.8,,44,
124,Rod Gardner\GardRo00,WAS,WR,27,16,14,0,3,0,0,0,3,7,2.33,0,106,51,650,12.75,5,96,149.7,121.2,,45,
125,Brandon Lloyd\LloyBr00,SFO,WR,23,13,13,0,0,0,0,0,0,0,,0,89,43,565,13.14,6,95,140.5,116.0,,47,
126,Dennis Northcutt\NortDe00,CLE,WR,27,16,11,0,0,0,0,0,8,19,2.38,0,94,55,806,14.65,2,95,151.5,120.0,,46,
127,Duce Staley\StalDu00,PIT,RB,29,10,10,0,0,0,0,0,192,830,4.32,1,12,6,55,9.17,0,95,102.0,94.5,,37,
128,Antowain Smith\SmitAn00,TEN,RB,32,13,4,0,0,0,0,0,137,509,3.72,4,26,22,169,7.68,0,92,118.8,100.8,,38,
129,Amos Zereoue\ZereAm00,OAK,RB,28,15,6,0,0,0,0,0,112,425,3.79,3,48,39,284,7.28,0,89,133.4,107.4,,39,
130,Steve McNair\McNaSt00,TEN,QB,31,8,8,129,215,1343,8,9,23,128,5.57,1,0,0,0,,0,87,99.0,90.5,,31,
131,Patrick Ramsey\RamsPa00,WAS,QB,25,9,7,169,272,1665,10,11,10,19,1.90,0,0,0,0,,0,87,97.5,91.5,,32,
132,Antwaan Randle El\RandAn00,PIT,WR,25,16,7,1,1,10,1,0,8,34,4.25,0,63,43,601,13.98,3,86,129.4,102.4,,48,
133,Cedrick Wilson\WilsCe00,SFO,WR,26,15,15,0,0,0,0,0,1,6,6.00,0,85,47,641,13.64,3,83,132.7,106.2,,49,
134,Peerless Price\PricPe00,ATL,WR,28,16,15,1,1,25,0,0,3,34,11.33,0,106,45,575,12.78,3,80,127.9,102.4,,50,
135,William Green\GreeWi01,CLE,RB,25,15,13,0,0,0,0,0,163,585,3.59,2,22,14,84,6.00,0,79,94.4,82.9,,40,
136,Jabar Gaffney\GaffJa00,HOU,WR,24,16,12,0,3,0,0,0,4,30,7.50,0,68,41,632,15.41,2,78,121.7,97.7,,51,
137,David Terrell\TerrDa00,CHI,WR,25,16,15,0,0,0,0,0,3,10,3.33,0,90,42,699,16.64,1,77,121.4,96.9,,52,
138,Eddie George\GeorEd00,DAL,RB,31,13,8,0,0,0,0,0,132,432,3.27,4,13,9,83,9.22,0,76,86.0,77.0,,41,
139,Amani Toomer\ToomAm00,NYG,WR,30,15,14,0,0,0,0,0,0,0,,0,107,51,747,14.65,0,75,128.2,99.2,,53,
140,Joey Galloway\GallJo00,TAM,WR,33,10,7,0,0,0,0,0,2,19,9.50,0,53,33,416,12.61,5,74,114.0,93.0,,55,
141,Dorsey Levens\LeveDo00,PHI,RB,34,15,5,0,0,0,0,0,94,410,4.36,4,14,9,92,10.22,0,74,86.2,78.7,,42,
142,Todd Pinkston\PinkTo00,PHI,WR,27,16,16,0,0,0,0,0,0,0,,0,63,36,676,18.78,1,74,112.6,91.6,,54,
143,Mark Brunell\BrunMa00,WAS,QB,34,9,9,118,237,1194,7,6,19,62,3.26,0,0,0,0,,0,72,78.0,72.0,,33,
144,Marty Booker\BookMa00,MIA,WR,28,15,15,1,1,48,0,0,1,-8,-8.00,0,105,50,638,12.76,1,71,123.9,95.9,,57,
145,Az-Zahir Hakim\HakiAz00,DET,WR,27,12,5,0,0,0,0,0,1,0,0.00,0,57,31,533,17.19,3,71,105.3,86.8,,56,
146,Jonathan Wells\WellJo00,HOU,RB,25,16,1,0,0,0,0,0,82,299,3.65,3,16,11,79,7.18,2,70,83.3,74.3,,43,
147,Anquan Boldin\BoldAn00,ARI,WR,24,10,9,0,0,0,0,0,1,3,3.00,0,104,56,623,11.13,1,69,127.1,95.6,,59,
148,Deion Branch\BranDe00,NWE,WR,25,9,9,0,0,0,0,0,0,0,,0,51,35,454,12.97,4,69,106.9,85.9,,58,
149,LaMont Jordan\JordLa00,NYJ,RB,26,16,0,0,1,0,0,1,93,479,5.15,2,16,15,112,7.47,0,69,90.6,76.6,,44,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
150,Kevin Faulk\FaulKe00,NWE,RB,28,11,1,0,0,0,0,0,54,255,4.72,2,30,26,248,9.54,1,68,99.3,79.3,,45,
151,Doug Gabriel\GabrDo00,OAK,WR,24,16,5,0,0,0,0,0,2,7,3.50,0,79,33,551,16.70,2,68,102.8,82.3,,60,
152,L.J. Smith\SmitL.00,PHI,TE,24,16,8,0,0,0,0,0,0,0,,0,54,34,377,11.09,5,68,104.7,84.7,,13,
153,Chris Cooley\CoolCh00,WAS,TE,22,16,9,0,0,0,0,0,0,0,,0,63,37,314,8.49,6,67,107.4,85.9,,14,
154,Shaun McDonald\McDoSh00,STL,WR,23,16,0,0,0,0,0,0,4,0,0.00,0,68,37,494,13.35,3,67,105.4,81.9,,61,
155,Marcus Pollard\PollMa00,IND,TE,32,13,13,0,0,0,0,0,0,0,,0,41,29,309,10.66,6,67,98.9,81.4,,15,
156,Tatum Bell\BellTa00,DEN,RB,23,14,0,0,0,0,0,0,75,396,5.28,3,7,5,80,16.00,0,66,73.1,67.1,,48,
157,Tony Fisher\FishTo00,GNB,RB,25,16,0,1,1,8,1,0,65,224,3.45,0,44,38,277,7.29,2,66,109.9,84.4,,46,
158,Anthony Thomas\ThomAn01,CHI,RB,27,12,2,0,0,0,0,0,122,404,3.31,2,23,17,132,7.76,0,66,88.1,73.1,,47,
159,Jay Fiedler\FiedJa00,MIA,QB,33,8,7,101,190,1186,7,8,12,59,4.92,0,0,0,0,,0,65,71.8,64.3,,34,
160,Tyrone Wheatley\WheaTy00,OAK,RB,32,8,7,0,0,0,0,0,85,327,3.85,4,15,15,78,5.20,0,65,82.5,72.0,,49,
161,Travis Minor\MinoTr00,MIA,RB,25,11,4,0,0,0,0,0,109,388,3.56,3,27,13,75,5.77,0,64,80.3,70.8,,50,
162,Jerome Pathon\PathJe00,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,67,34,581,17.09,1,64,100.6,80.1,,62,
163,Moe Williams\WillMo00,MIN,RB,30,14,1,0,0,0,0,0,30,161,5.37,3,27,21,233,11.10,1,63,90.4,73.9,,51,
164,Bobby Engram\EngrBo00,SEA,WR,31,13,7,0,0,0,0,0,0,0,,0,53,36,499,13.86,2,62,100.4,78.9,,63,
165,Mewelde Moore\MoorMe00,MIN,RB,22,10,3,0,1,0,0,0,65,379,5.83,0,32,27,238,8.81,0,62,94.7,75.2,,52,
166,Koren Robinson\RobiKo00,SEA,WR,24,10,8,0,0,0,0,0,1,3,3.00,0,67,31,495,15.97,2,62,95.8,77.3,,64,
167,Steve Heiden\HeidSt00,CLE,TE,28,13,13,0,0,0,0,0,0,0,,0,42,28,287,10.25,5,61,91.2,73.7,,16,
168,Quincy Morgan\MorgQu00,2TM,WR,27,15,12,0,0,0,0,0,2,23,11.50,0,68,31,404,13.03,3,61,94.2,75.2,,66,
169,Jerry Rice\RiceJe00,2TM,WR,42,17,14,0,0,0,0,0,0,0,,0,64,30,429,14.30,3,61,93.9,75.9,,65,
170,Michael Bennett\BennMi00,MIN,RB,26,11,7,0,0,0,0,0,70,276,3.94,1,23,21,207,9.86,1,60,86.8,69.8,,53,
171,Curtis Conway\ConwCu00,SFO,WR,33,16,5,0,0,0,0,0,0,0,,0,75,38,403,10.61,3,60,101.3,79.3,,67,
