,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Shaun Alexander*\AlexSh00,SEA,RB,27,16,16,0,0,0,0,0,353,1696,4.80,16,38,23,170,7.39,4,307,333.1,313.1,149,1,1
2,Daunte Culpepper*\CulpDa00,MIN,QB,27,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,0,,0,381,393.8,383.3,149,1,2
3,Tiki Barber*\BarbTi00,NYG,RB,29,16,14,0,0,0,0,0,322,1518,4.71,13,79,52,578,11.12,2,300,355.1,320.6,142,2,3
4,LaDainian Tomlinson*+\TomlLa00,SDG,RB,25,15,15,1,2,38,0,0,339,1335,3.94,17,66,53,441,8.32,1,287,343.1,307.6,130,3,4
5,Peyton Manning*+\MannPe00,IND,QB,28,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,0,,0,362,372.6,367.1,129,2,5
6,Curtis Martin*+\MartCu00,NYJ,RB,31,16,16,0,0,0,0,0,371,1697,4.57,12,49,41,245,5.98,2,278,324.2,296.7,121,4,6
7,Muhsin Muhammad*+\MuhaMu00,CAR,WR,31,16,16,0,0,0,0,0,3,15,5.00,0,160,93,1405,15.11,16,238,332.5,281.5,111,1,7
8,Antonio Gates*+\GateAn00,SDG,TE,24,15,15,0,0,0,0,0,0,0,,0,114,81,964,11.90,13,174,258.4,214.9,105,1,8
9,Domanick Williams\DaviDo01,HOU,RB,24,15,15,0,0,0,0,0,302,1188,3.93,13,84,68,588,8.65,1,262,333.6,291.6,104,5,9
10,Edgerrin James*\JameEd00,IND,RB,26,16,16,0,0,0,0,0,334,1548,4.63,9,60,51,483,9.47,0,259,313.1,278.6,102,6,10
11,Tony Gonzalez*\GonzTo00,KAN,TE,28,16,16,0,0,0,0,0,1,5,5.00,0,148,102,1258,12.33,7,168,273.3,219.3,99,2,11
12,Corey Dillon*\DillCo00,NWE,RB,30,15,14,0,0,0,0,0,345,1635,4.74,12,21,15,103,6.87,1,252,270.3,254.3,94,7,12
13,Javon Walker*\WalkJa00,GNB,WR,26,16,12,0,0,0,0,0,0,0,,0,144,89,1382,15.53,12,210,301.2,252.7,83,2,13
14,Joe Horn*\HornJo00,NOR,WR,32,16,16,0,0,0,0,0,0,0,,0,153,94,1399,14.88,11,208,304.9,254.9,81,3,14
15,Terrell Owens*+\OwenTe00,PHI,WR,31,14,14,0,0,0,0,0,3,-5,-1.67,0,127,77,1200,15.58,14,204,282.5,240.0,76,4,15
16,Marvin Harrison*\HarrMa00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,139,86,1113,12.94,15,201,289.8,243.3,74,5,16
17,Donovan McNabb*\McNaDo00,PHI,QB,28,15,15,300,469,3875,31,8,41,220,5.37,3,0,0,0,,0,303,313.0,303.0,70,3,17
18,Torry Holt*\HoltTo00,STL,WR,28,16,16,0,0,0,0,0,0,0,,0,135,94,1372,14.60,10,197,292.7,241.2,70,6,18
