,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Priest Holmes*+\HolmPr00,KAN,RB,30,16,16,0,1,0,0,0,320,1420,4.44,27,90,74,690,9.32,0,373,452.5,409.0,231,1,1
2,Ahman Green*\GreeAh00,GNB,RB,26,16,16,0,0,0,0,0,355,1883,5.30,15,60,50,367,7.34,5,345,397.5,363.0,203,2,2
3,LaDainian Tomlinson\TomlLa00,SDG,RB,24,16,16,1,1,21,1,0,313,1645,5.26,13,137,100,725,7.25,4,344,448.8,391.8,202,3,3
4,Jamal Lewis*+\LewiJa00,BAL,RB,24,16,16,0,0,0,0,0,387,2066,5.34,14,38,26,205,7.88,0,311,339.1,316.1,169,4,4
5,Randy Moss*+\MossRa00,MIN,WR,26,16,16,0,1,0,0,0,6,18,3.00,0,172,111,1632,14.70,17,267,380.5,321.5,163,1,5
6,Torry Holt*+\HoltTo00,STL,WR,27,16,15,0,0,0,0,0,1,5,5.00,0,183,117,1696,14.50,12,242,361.6,299.6,138,2,6
7,Clinton Portis*\PortCl00,DEN,RB,22,13,13,0,0,0,0,0,290,1591,5.49,14,51,38,314,8.26,0,277,319.0,292.5,135,5,7
8,Shaun Alexander*\AlexSh00,SEA,RB,26,16,15,0,0,0,0,0,326,1435,4.40,14,59,42,295,7.02,2,269,315.0,286.0,127,6,8
9,Deuce McAllister*\McAlDe00,NOR,RB,25,16,16,0,2,0,0,0,351,1641,4.68,8,87,69,516,7.48,0,264,335.7,292.2,122,7,9
10,Fred Taylor\TaylFr00,JAX,RB,27,16,16,0,0,0,0,0,345,1572,4.56,6,74,48,370,7.71,1,236,287.2,254.2,94,8,10
