,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
225,Dante Rosario\RosaDa00,CAR,TE,25,14,8,0,0,0,0,0,0,0,,0,48,26,313,12.04,2,43,72.3,56.3,,29,
226,Maurice Stovall\StovMa00,TAM,WR,24,15,7,0,0,0,0,0,0,0,,0,47,24,366,15.25,1,43,69.6,54.6,,84,
227,Julian Edelman\EdelJu00,NWE,WR,23,11,7,0,0,0,0,0,2,5,2.50,0,54,37,359,9.70,1,42,81.9,59.9,,85,
228,Josh Johnson\JohnJo05,TAM,QB,23,6,4,63,125,685,4,8,22,148,6.73,0,0,0,0,,0,42,52.7,43.2,,42,
229,Chris Redman\RedmCh00,ATL,QB,32,6,2,69,119,781,4,3,6,4,0.67,0,0,0,0,,0,42,47.1,43.6,,43,
230,David Thomas\ThomDa02,NOR,TE,26,15,8,0,0,0,0,0,0,0,,0,48,35,356,10.17,1,42,79.6,59.1,,30,
231,Brandon Gibson\GibsBr00,2TM,WR,22,10,4,0,0,0,0,0,0,0,,0,69,34,348,10.24,1,41,76.8,55.8,,86,
232,Derek Anderson\AndeDe00,CLE,QB,26,8,7,81,182,888,3,10,10,8,0.80,2,0,0,0,,0,40,50.8,45.3,,44,
233,Randy McMichael\McMiRa01,STL,TE,30,16,16,0,0,0,0,0,0,0,,0,62,34,332,9.76,1,39,76.2,56.2,,31,
234,Sammie Stroughter\StroSa00,TAM,WR,23,13,0,0,0,0,0,0,0,0,,0,60,31,334,10.77,1,39,79.4,60.9,,87,
235,Joel Dreessen\DreeJo00,HOU,TE,27,16,11,0,0,0,0,0,0,0,,0,39,26,320,12.31,1,38,67.0,51.0,,33,
236,John Paul Foschi\FoscJo00,CIN,TE,27,15,10,0,0,0,0,0,0,0,,0,37,27,260,9.63,2,38,67.5,50.5,,34,
237,Jeff King\KingJe00,CAR,TE,26,16,15,0,0,0,0,0,0,0,,0,33,25,200,8.00,3,38,65.5,49.5,,32,
238,Legedu Naanee\NaanLe00,SDG,WR,26,15,1,1,1,21,0,0,3,7,2.33,0,29,24,242,10.08,2,38,64.7,49.7,,88,
239,David Anderson\AndeDa01,HOU,TE,26,16,8,0,0,0,0,0,0,0,,0,53,38,370,9.74,0,37,78.0,56.0,,35,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
240,Glen Coffee\CoffGl00,SFO,RB,22,14,2,0,0,0,0,0,83,226,2.72,1,18,11,76,6.91,0,36,50.2,41.7,,74,
241,Chris Henry\HenrCh00,CIN,WR,26,8,0,0,0,0,0,0,0,0,,0,23,12,236,19.67,2,36,50.6,41.6,,89,
242,Rashad Jennings\JennRa00,JAX,RB,24,15,0,0,0,0,0,0,39,202,5.18,1,18,16,101,6.31,0,36,58.3,44.3,,73,
243,LenDale White\WhitLe01,TEN,RB,25,13,0,0,0,0,0,0,64,222,3.47,2,5,3,14,4.67,0,36,41.1,36.1,,75,
244,Daniel Graham\GrahDa00,DEN,TE,31,16,14,0,0,0,0,0,0,0,,0,43,28,289,10.32,1,35,65.9,48.9,,36,
245,Malcolm Kelly\KellMa01,WAS,WR,23,16,10,0,0,0,0,0,0,0,,0,41,25,347,13.88,0,35,62.7,47.2,,91,
246,Josh Reed\ReedJo01,BUF,WR,29,14,4,0,0,0,0,0,0,0,,0,45,27,291,10.78,1,35,63.6,45.6,,90,
247,Eddie Royal\RoyaEd00,DEN,WR,23,14,12,0,0,0,0,0,1,1,1.00,0,79,37,345,9.32,0,35,86.1,64.1,,92,
248,Chris Jennings\JennCh00,CLE,RB,24,9,1,0,0,0,0,0,63,220,3.49,1,13,9,56,6.22,0,34,45.6,38.1,,76,
249,Byron Leftwich\LeftBy00,TAM,QB,29,3,3,58,107,594,4,3,6,6,1.00,0,0,0,0,,0,34,39.4,35.4,,45,
250,Zach Miller\MillZa02,JAX,TE,25,14,0,0,0,0,0,0,1,3,3.00,0,27,21,212,10.10,2,34,57.5,44.0,,37,
251,Brad Smith\SmitBr01,NYJ,QB,26,13,2,1,1,27,0,0,18,207,11.50,1,12,7,63,9.00,0,34,50.1,43.6,,46,
252,Donald Lee\LeexDo00,GNB,TE,29,16,10,0,0,0,0,0,0,0,,0,54,37,260,7.03,1,32,72.0,50.5,,38,
253,Brian Leonard\LeonBr00,CIN,RB,25,14,1,0,0,0,0,0,27,84,3.11,0,35,30,217,7.23,0,32,64.6,46.1,,77,
254,Michael Clayton\ClayMi00,TAM,WR,27,13,11,0,1,0,0,0,0,0,,0,48,16,230,14.38,1,31,50.0,39.0,,93,
255,Mike Sellers\SellMi00,WAS,RB,34,15,7,0,0,0,0,0,0,0,,0,26,17,176,10.35,2,30,49.1,37.1,,78,
256,Lynell Hamilton\HamiLy20,NOR,RB,24,9,1,0,0,0,0,0,35,125,3.57,2,7,5,48,9.60,0,29,37.3,31.8,,79,
257,Lance Moore\MoorLa00,NOR,WR,26,7,0,0,0,0,0,0,0,0,,0,19,14,153,10.93,2,29,44.3,34.3,,94,
258,Michael Vick\VickMi00,PHI,QB,29,12,1,6,13,86,1,0,24,95,3.96,2,0,0,0,,0,29,28.9,28.9,,47,
259,Aaron Brown\BrowAa00,DET,RB,24,15,2,0,0,0,0,0,27,131,4.85,0,15,9,84,9.33,1,28,39.5,32.0,,80,
260,Alge Crumpler\CrumAl00,TEN,TE,32,16,14,0,0,0,0,0,0,0,,0,37,27,222,8.22,1,28,57.7,40.7,,39,
261,Joey Haynos\HaynJo00,MIA,TE,25,16,8,0,0,0,0,0,0,0,,0,37,19,162,8.53,2,28,49.7,36.7,,40,
262,Johnnie Lee Higgins\HiggJo00,OAK,WR,26,15,5,0,0,0,0,0,2,21,10.50,0,45,19,263,13.84,0,28,48.4,33.9,,95,
263,Desmond Clark\ClarDe00,CHI,TE,32,11,7,0,0,0,0,0,0,0,,0,34,19,145,7.63,2,27,48.5,36.0,,42,
264,Early Doucet\DoucEa00,ARI,WR,24,9,0,0,0,0,0,0,0,0,,0,24,17,214,12.59,1,27,47.4,35.9,,96,
265,Heath Evans\EvanHe00,NOR,RB,31,6,5,0,0,0,0,0,5,16,3.20,1,13,10,70,7.00,2,27,36.6,31.6,,82,
266,Ben Patrick\PatrBe00,ARI,TE,25,9,7,0,0,0,0,0,0,0,,0,16,12,146,12.17,2,27,41.6,32.6,,41,
267,Delanie Walker\WalkHu00,SFO,RB,25,16,8,0,0,0,0,0,3,34,11.33,0,33,21,233,11.10,0,27,49.7,35.2,,81,
268,Chris Baker\BakeCh00,NWE,TE,30,16,7,0,0,0,0,0,0,0,,0,19,14,142,10.14,2,26,43.2,33.2,,43,
269,Isaac Bruce\BrucIs00,SFO,WR,37,10,7,0,0,0,0,0,1,-8,-8.00,0,49,21,264,12.57,0,26,49.6,36.1,,97,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
270,Kellen Davis\DaviKe01,CHI,TE,24,16,2,0,0,0,0,0,0,0,,0,14,9,75,8.33,3,26,34.5,30.0,,44,
271,Dwayne Jarrett\JarrDw00,CAR,WR,23,13,2,0,0,0,0,0,0,0,,0,31,17,196,11.53,1,26,45.6,34.1,,98,
272,Sean Ryan\RyanSe00,KAN,TE,29,10,8,0,0,0,0,0,0,0,,0,27,14,135,9.64,2,26,42.5,32.5,,45,
