,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Tom Brady*+\BradTo00,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,0,,0,398,406.0,400.0,180,1,1
2,Randy Moss*+\MossRa00,NWE,WR,30,16,16,0,0,0,0,0,0,0,,0,160,98,1493,15.23,23,287,388.3,336.3,169,1,2
3,LaDainian Tomlinson*+\TomlLa00,SDG,RB,28,16,16,1,1,17,1,0,315,1474,4.68,15,86,60,475,7.92,3,308,373.6,337.6,166,1,3
4,Brian Westbrook*+\WestBr00,PHI,RB,28,15,15,0,0,0,0,0,278,1333,4.79,7,118,90,771,8.57,5,282,377.4,325.4,141,2,4
5,Terrell Owens*+\OwenTe00,DAL,WR,34,15,15,0,0,0,0,0,1,5,5.00,0,141,81,1355,16.73,15,226,310.0,266.5,108,2,5
6,Braylon Edwards*\EdwaBr00,CLE,WR,24,16,16,0,0,0,0,0,0,0,,0,154,80,1289,16.11,16,225,306.4,261.9,107,3,6
7,Adrian Peterson*\PeteAd01,MIN,RB,22,14,9,0,0,0,0,0,238,1341,5.63,12,28,19,268,14.11,1,239,261.9,244.4,97,3,7
8,Clinton Portis\PortCl00,WAS,RB,26,16,16,1,1,15,1,0,325,1262,3.88,11,60,47,389,8.28,0,236,285.7,253.2,94,4,8
9,Joseph Addai*\AddaJo00,IND,RB,24,15,15,0,0,0,0,0,261,1072,4.11,12,48,41,364,8.88,3,236,282.6,256.1,94,5,9
10,Reggie Wayne*\WaynRe00,IND,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,156,104,1510,14.52,10,211,316.9,260.4,93,4,10
11,Larry Fitzgerald*\FitzLa00,ARI,WR,24,15,15,0,0,0,0,0,0,0,,0,167,100,1409,14.09,10,201,302.4,247.9,83,5,11
12,Tony Romo*\RomoTo00,DAL,QB,27,16,16,335,520,4211,36,19,31,129,4.16,2,0,0,0,,0,299,319.3,308.3,81,2,12
13,Jamal Lewis\LewiJa00,CLE,RB,28,15,15,0,0,0,0,0,298,1304,4.38,9,39,30,248,8.27,2,221,255.2,232.2,79,6,13
14,Chad Johnson*\JohnCh01,CIN,WR,29,16,16,0,0,0,0,0,6,47,7.83,0,161,93,1440,15.48,8,197,291.7,241.2,78,6,14
15,Jason Witten*+\WittJa00,DAL,TE,25,16,16,0,0,0,0,0,0,0,,0,141,96,1145,11.93,7,157,255.0,203.5,78,1,15
16,Antonio Gates*\GateAn00,SDG,TE,27,16,16,0,0,0,0,0,0,0,,0,117,75,984,13.12,9,152,230.4,189.9,74,2,16
17,T.J. Houshmandzadeh*\HousTJ00,CIN,WR,30,16,15,0,0,0,0,0,5,14,2.80,0,169,112,1143,10.21,12,188,301.7,241.7,69,7,17
18,Tony Gonzalez*\GonzTo00,KAN,TE,31,16,16,0,0,0,0,0,0,0,,0,153,99,1172,11.84,5,147,249.2,196.7,69,3,18
19,Marques Colston\ColsMa00,NOR,WR,24,16,14,0,0,0,0,0,0,0,,0,143,98,1202,12.27,11,186,286.7,234.2,68,8,19
20,Kellen Winslow*\WinsKe01,CLE,TE,24,16,14,0,0,0,0,0,0,0,,0,148,82,1106,13.49,5,143,226.6,181.6,64,4,20
21,Brandon Marshall\MarsBr00,DEN,WR,23,16,16,0,0,0,0,0,5,57,11.40,0,170,102,1325,12.99,7,180,283.7,228.2,62,9,21
22,Peyton Manning*\MannPe00,IND,QB,31,16,16,337,515,4040,31,14,20,-5,-0.25,3,0,0,0,,0,277,291.1,285.1,59,3,22
23,Plaxico Burress\BurrPl00,NYG,WR,30,16,16,0,0,0,0,0,0,0,,0,141,70,1025,14.64,12,175,247.5,209.5,56,10,23
24,Marion Barber*\BarbMa01,DAL,RB,24,16,0,0,0,0,0,0,204,975,4.78,10,54,44,282,6.41,2,198,246.2,216.7,56,7,24
25,Dallas Clark\ClarDa00,IND,TE,28,15,15,0,0,0,0,0,2,29,14.50,0,101,58,616,10.62,11,131,191.5,159.5,52,5,25
26,Wes Welker\WelkWe00,NWE,WR,26,16,13,0,0,0,0,0,4,34,8.50,0,145,112,1175,10.49,8,169,282.4,221.9,51,11,26
27,Chris Cooley*\CoolCh00,WAS,TE,25,16,16,0,0,0,0,0,0,0,,0,110,66,786,11.91,8,129,197.1,160.6,50,6,27
28,Willis McGahee*\McGaWi00,BAL,RB,26,15,15,0,0,0,0,0,294,1207,4.11,7,49,43,231,5.37,1,192,238.8,209.3,50,8,28
29,Ben Roethlisberger*\RoetBe00,PIT,QB,25,15,15,264,404,3154,32,11,35,204,5.83,2,0,0,0,,0,267,279.1,268.6,48,4,29
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
30,Frank Gore\GoreFr00,SFO,RB,24,15,15,0,0,0,0,0,260,1102,4.24,5,69,53,436,8.23,1,190,246.8,212.3,48,9,30
31,Drew Brees\BreeDr00,NOR,QB,28,16,16,440,652,4423,28,18,23,52,2.26,1,2,2,10,5.00,0,265,283.6,275.1,47,5,31
32,Greg Jennings\JennGr00,GNB,WR,24,13,13,0,0,0,0,0,0,0,,0,84,53,920,17.36,12,164,219.5,189.5,46,12,32
33,Torry Holt*\HoltTo00,STL,WR,31,16,16,0,0,0,0,0,0,0,,0,149,93,1189,12.78,7,163,257.9,207.4,45,13,33
34,Edgerrin James\JameEd00,ARI,RB,29,16,16,0,0,0,0,0,324,1222,3.77,7,39,24,204,8.50,0,185,212.1,191.6,43,10,34
35,Earnest Graham\GrahEa00,TAM,RB,27,15,10,0,0,0,0,0,222,898,4.05,10,69,49,324,6.61,0,182,236.7,205.7,40,11,35
36,Matt Hasselbeck*\HassMa00,SEA,QB,32,16,16,352,562,3966,28,12,39,89,2.28,0,0,0,0,,0,258,268.0,260.5,39,6,36
