,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
37,Derek Anderson*\AndeDe00,CLE,QB,24,16,15,298,527,3787,29,19,32,70,2.19,3,0,0,0,,0,256,276.0,270.5,38,7,37
38,Roddy White\WhitRo00,ATL,WR,26,16,15,0,0,0,0,0,1,-2,-2.00,0,137,83,1202,14.48,6,156,240.5,194.5,38,14,38
39,Marshawn Lynch\LyncMa00,BUF,RB,21,13,13,1,1,8,1,0,280,1115,3.98,7,26,18,184,10.22,0,178,201.2,185.2,36,12,39
40,Bobby Engram\EngrBo00,SEA,WR,34,16,13,0,0,0,0,0,0,0,,0,134,94,1147,12.20,6,151,247.2,196.7,32,15,40
41,Brett Favre*\FavrBr00,GNB,QB,38,16,16,356,535,4155,28,15,29,12,0.41,0,0,0,0,,0,249,262.9,255.4,31,8,41
42,Steve Smith\SmitSt01,CAR,WR,28,15,15,0,0,0,0,0,9,66,7.33,0,148,87,1002,11.52,7,149,238.3,191.3,31,16,42
43,Maurice Jones-Drew\DrewMa00,JAX,RB,22,15,0,0,0,0,0,0,167,768,4.60,9,55,40,407,10.18,0,172,222.5,195.5,30,13,43
44,Kevin Curtis\CurtKe00,PHI,WR,29,16,16,0,0,0,0,0,0,0,,0,135,77,1110,14.42,6,147,239.0,197.5,29,17,44
45,Santonio Holmes\HolmSa00,PIT,WR,23,13,13,0,0,0,0,0,5,17,3.40,0,85,52,942,18.12,8,146,199.9,169.9,28,18,45
46,Steven Jackson\JackSt00,STL,RB,24,12,12,1,1,2,1,0,237,1002,4.23,5,52,38,271,7.13,1,167,208.9,181.4,26,14,46
47,LenDale White\WhitLe01,TEN,RB,23,16,16,0,0,0,0,0,303,1110,3.66,7,31,20,114,5.70,0,164,187.9,169.4,23,15,47
48,Anquan Boldin\BoldAn00,ARI,WR,27,12,11,0,0,0,0,0,1,14,14.00,0,99,71,853,12.01,9,141,213.7,174.2,22,19,48
49,Derrick Mason\MasoDe00,BAL,WR,33,16,16,0,0,0,0,0,0,0,,0,164,103,1087,10.55,5,139,244.2,189.2,20,20,49
50,Heath Miller\MillHe00,PIT,TE,25,16,16,0,0,0,0,0,0,0,,0,61,47,566,12.04,7,99,148.6,122.1,20,7,50
51,Joey Galloway\GallJo00,TAM,WR,36,15,15,0,0,0,0,0,1,1,1.00,0,98,57,1014,17.79,6,138,197.5,166.0,19,21,51
52,Willie Parker*\ParkWi00,PIT,RB,27,15,15,0,1,0,0,0,321,1316,4.10,2,31,23,164,7.13,0,160,187.0,167.5,18,16,52
53,Owen Daniels\DaniOw00,HOU,TE,25,16,16,0,0,0,0,0,0,0,,0,94,63,768,12.19,3,95,158.8,122.3,16,8,53
54,Ryan Grant\GranRy00,GNB,RB,25,15,7,0,0,0,0,0,188,956,5.09,8,37,30,145,4.83,0,158,193.6,172.1,16,17,54
55,Donald Lee\LeexDo00,GNB,TE,27,15,12,0,0,0,0,0,0,0,,0,63,48,575,11.98,6,94,144.0,116.5,15,9,55
56,Andre Johnson\JohnAn02,HOU,WR,26,9,9,0,0,0,0,0,0,0,,0,86,60,851,14.18,8,133,195.6,162.1,15,22,56
57,Fred Taylor*\TaylFr00,JAX,RB,31,15,15,0,0,0,0,0,223,1202,5.39,5,14,9,58,6.44,0,156,167.0,158.5,14,18,57
58,Kenny Watson\WatsKe00,CIN,RB,29,16,5,0,0,0,0,0,178,763,4.29,7,67,52,374,7.19,0,156,212.2,178.7,14,19,58
59,Chester Taylor\TaylCh01,MIN,RB,28,14,8,0,1,0,0,0,157,844,5.38,7,43,29,281,9.69,0,155,187.0,164.0,13,20,59
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
60,Brandon Jacobs\JacoBr00,NYG,RB,25,11,9,0,0,0,0,0,202,1009,5.00,4,38,23,174,7.57,2,154,180.8,160.8,13,21,60
61,Shaun McDonald\McDoSh00,DET,WR,26,16,7,0,0,0,0,0,4,2,0.50,0,127,79,943,11.94,6,131,211.0,167.0,12,23,61
62,Carson Palmer\PalmCa00,CIN,QB,28,16,16,373,575,4131,26,20,24,10,0.42,0,0,0,0,,0,230,250.7,245.2,12,9,62
63,Dwayne Bowe\BoweDw00,KAN,WR,23,16,15,0,0,0,0,0,0,0,,0,116,70,995,14.21,5,130,202.5,164.5,11,24,63
64,Jerricho Cotchery\CotcJe00,NYJ,WR,25,15,15,0,0,0,0,0,5,38,7.60,0,127,82,1130,13.78,2,129,213.3,168.8,11,25,64
65,Bernard Berrian\BerrBe00,CHI,WR,27,16,15,0,0,0,0,0,0,0,,0,128,71,951,13.39,5,125,198.6,159.6,7,26,65
66,Tony Scheffler\ScheTo00,DEN,TE,24,16,7,0,0,0,0,0,0,0,,0,65,49,549,11.20,5,85,136.4,108.4,6,10,66
67,Nate Burleson\BurlNa00,SEA,WR,26,16,12,0,0,0,0,0,2,4,2.00,0,96,50,694,13.88,9,124,187.3,157.8,6,27,67
68,Reggie Williams\WillRe00,JAX,WR,24,15,6,0,0,0,0,0,1,8,8.00,0,60,38,629,16.55,10,124,163.2,139.7,5,28,68
69,Chris Chambers\ChamCh00,2TM,WR,29,16,12,0,0,0,0,0,3,12,4.00,0,129,66,970,14.70,4,122,190.7,154.2,4,29,69
70,Thomas Jones\JoneTh00,NYJ,RB,29,16,14,0,0,0,0,0,310,1119,3.61,1,34,28,217,7.75,1,146,178.6,157.6,4,22,70
71,Jeremy Shockey\ShocJe00,NYG,TE,27,14,14,0,0,0,0,0,1,6,6.00,0,93,57,619,10.86,3,81,140.5,109.0,2,11,71
72,Justin Fargas\FargJu00,OAK,RB,27,14,7,0,0,0,0,0,222,1009,4.55,4,32,23,188,8.17,0,144,171.2,152.2,2,23,72
73,Donovan McNabb\McNaDo00,PHI,QB,31,14,14,291,473,3324,19,7,50,236,4.72,0,0,0,0,,0,219,227.1,216.6,,10,73
74,Jay Cutler\CutlJa00,DEN,QB,24,16,16,297,467,3497,20,14,44,205,4.66,1,0,0,0,,0,218,232.9,221.4,,11,74
75,Desmond Clark\ClarDe00,CHI,TE,30,16,16,0,0,0,0,0,0,0,,0,67,44,545,12.39,4,79,125.0,99.5,,12,75
76,Fred McCrary\McCrFr00,SEA,,35,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,2,76
77,Kurt Warner\WarnKu00,ARI,QB,36,14,11,281,451,3417,27,17,17,15,0.88,1,0,0,0,,0,218,232.2,223.2,,12,77
78,Reggie Bush\BushRe00,NOR,RB,22,12,10,0,0,0,0,0,157,581,3.70,4,98,73,417,5.71,2,142,216.8,170.3,,24,78
79,Jon Kitna\KitnJo00,DET,QB,35,16,16,355,561,4068,18,20,25,63,2.52,0,1,1,9,9.00,0,202,217.4,205.4,,13,
80,Eli Manning\MannEl00,NYG,QB,26,16,16,297,529,3336,23,20,29,69,2.38,1,0,0,0,,0,198,214.8,205.3,,14,
81,David Garrard\GarrDa00,JAX,QB,29,12,12,208,325,2509,18,3,49,185,3.78,1,0,0,0,,0,193,200.4,192.9,,15,
82,Philip Rivers\RivePh00,SDG,QB,26,16,16,277,460,3152,21,15,29,33,1.14,1,0,0,0,,0,189,201.9,193.4,,16,
83,Jason Campbell\CampJa00,WAS,QB,26,13,13,250,417,2700,12,11,36,185,5.14,1,0,0,0,,0,163,173.0,160.5,,17,
84,Vince Young\YounVi00,TEN,QB,24,15,15,238,382,2546,9,17,93,395,4.25,3,0,0,0,,0,161,179.3,168.3,,18,
85,Jeff Garcia*\GarcJe00,TAM,QB,37,13,13,209,327,2440,13,4,35,116,3.31,1,0,0,0,,0,159,167.2,159.2,,19,
86,Tarvaris Jackson\JackTa00,MIN,QB,24,12,12,171,294,1911,9,12,54,260,4.81,3,0,0,0,,0,136,151.9,143.4,,20,
87,Laurence Maroney\MaroLa00,NWE,RB,22,13,6,0,0,0,0,0,185,835,4.51,6,8,4,116,29.00,0,133,143.1,135.1,,25,
88,Ronnie Brown\BrowRo05,MIA,RB,26,7,7,0,0,0,0,0,119,602,5.06,4,46,39,389,9.97,1,131,176.1,150.6,,26,
89,DeShaun Foster\FostDe00,CAR,RB,27,16,16,0,0,0,0,0,247,876,3.55,3,36,25,182,7.28,1,130,157.3,135.3,,27,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
90,Kevin Jones\JoneKe02,DET,RB,25,13,10,0,0,0,0,0,153,581,3.80,8,44,32,197,6.16,0,126,162.8,139.8,,28,
91,Ron Dayne\DaynRo00,HOU,RB,29,13,8,0,0,0,0,0,194,773,3.98,6,26,17,112,6.59,0,125,147.0,132.0,,29,
92,Warrick Dunn\DunnWa00,ATL,RB,32,16,15,0,0,0,0,0,227,720,3.17,4,59,37,238,6.43,0,120,161.8,136.3,,30,
93,DeAngelo Williams\WillDe02,CAR,RB,24,16,0,0,0,0,0,0,144,717,4.98,4,38,23,175,7.61,1,119,147.7,129.7,,31,
94,Hines Ward\WardHi00,PIT,WR,31,13,13,0,0,0,0,0,3,11,3.67,0,113,71,732,10.31,7,118,192.3,153.8,,30,
95,Donald Driver*\DrivDo00,GNB,WR,32,15,14,0,0,0,0,0,2,4,2.00,0,122,82,1048,12.78,2,117,201.7,157.2,,31,
96,Cleo Lemon\LemoCl00,MIA,QB,28,9,7,173,309,1773,6,6,31,102,3.29,4,0,0,0,,0,117,125.6,116.1,,21,
97,Sage Rosenfels\RoseSa00,HOU,QB,29,9,5,154,240,1684,15,12,21,51,2.43,1,0,0,0,,0,116,129.5,124.5,,22,
98,Lee Evans\EvanLe00,BUF,WR,26,16,16,0,0,0,0,0,0,0,,0,113,55,849,15.44,5,115,172.9,142.4,,32,
99,Adrian Peterson\PeteAd00,CHI,RB,28,16,5,1,1,9,1,0,151,510,3.38,3,65,51,420,8.24,0,115,170.9,137.9,,32,
100,Maurice Morris\MorrMa00,SEA,RB,28,14,6,0,0,0,0,0,140,628,4.49,4,32,23,213,9.26,1,114,142.6,124.6,,33,
101,Roy Williams\WillRo04,DET,WR,26,12,12,0,0,0,0,0,2,1,0.50,0,105,64,838,13.09,5,114,179.9,143.9,,33,
102,Matt Schaub\SchaMa00,HOU,QB,26,11,11,192,289,2241,9,9,17,52,3.06,0,0,0,0,,0,113,121.3,114.8,,23,
103,Patrick Crayton\CrayPa00,DAL,WR,28,15,13,0,0,0,0,0,0,0,,0,81,50,697,13.94,7,112,163.7,134.7,,34,
104,Marc Bulger\BulgMa00,STL,QB,30,12,12,221,378,2392,11,15,9,13,1.44,0,0,0,0,,0,111,126.0,120.0,,24,
105,Calvin Johnson\JohnCa00,DET,WR,22,15,10,0,0,0,0,0,4,52,13.00,1,93,48,756,15.75,4,111,161.3,133.8,,35,
106,Najeh Davenport\DaveNa00,PIT,RB,28,15,1,0,0,0,0,0,107,499,4.66,5,27,18,184,10.22,2,110,133.8,118.3,,34,
107,Shaun Alexander\AlexSh00,SEA,RB,30,13,10,0,0,0,0,0,207,716,3.46,4,25,14,76,5.43,1,109,125.2,114.2,,35,
108,Damon Huard\HuarDa00,KAN,QB,34,11,10,206,332,2257,11,13,9,-1,-0.11,0,0,0,0,,0,108,121.7,116.2,,25,
109,Jerry Porter\PortJe00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,102,44,705,16.02,6,107,153.5,128.5,,37,
110,Kevin Walter\WaltKe00,HOU,WR,26,16,15,0,0,0,0,0,5,30,6.00,0,106,65,800,12.31,4,107,181.0,145.5,,36,
111,Reggie Brown\BrowRe01,PHI,WR,26,16,14,0,0,0,0,0,5,36,7.20,0,111,61,780,12.79,4,106,169.1,135.1,,38,
112,Cedric Benson\BensCe00,CHI,RB,25,11,11,0,0,0,0,0,196,674,3.44,4,27,17,123,7.24,0,104,125.2,109.2,,36,
113,Joey Harrington\HarrJo00,ATL,QB,29,12,10,215,348,2215,7,8,14,33,2.36,0,1,1,4,4.00,0,104,116.3,112.8,,26,
114,Chad Pennington\PennCh01,NYJ,QB,31,9,8,179,260,1765,10,9,20,32,1.60,1,0,0,0,,0,104,113.3,107.8,,27,
115,Derrick Ward\WardDe01,NYG,RB,27,8,5,0,0,0,0,0,125,602,4.82,3,40,26,179,6.88,1,102,133.1,113.1,,37,
116,Selvin Young\YounSe00,DEN,RB,24,15,8,0,0,0,0,0,140,729,5.21,1,43,35,231,6.60,0,102,142.0,117.5,,38,
117,Laveranues Coles\ColeLa00,NYJ,WR,30,12,10,0,0,0,0,0,0,0,,0,89,55,646,11.75,6,101,158.6,128.1,,39,
118,Ronald Curry\CurrRo01,OAK,WR,28,16,13,0,1,0,0,0,1,1,1.00,0,97,55,717,13.04,4,100,157.8,127.3,,41,
119,Travis Henry\HenrTr00,DEN,RB,29,12,7,0,0,0,0,0,167,691,4.14,4,14,7,65,9.29,0,100,108.1,100.1,,39,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
120,Santana Moss\MossSa00,WAS,WR,28,14,14,0,0,0,0,0,3,13,4.33,0,115,61,808,13.25,3,100,163.1,128.6,,40,
121,Larry Johnson\JohnLa00,KAN,RB,28,8,8,0,1,0,0,0,158,559,3.54,3,41,30,186,6.20,1,99,134.0,112.5,,40,
122,LaMont Jordan\JordLa00,OAK,RB,29,12,7,0,0,0,0,0,144,549,3.81,3,34,28,247,8.82,0,98,131.6,111.6,,41,
123,Isaac Bruce\BrucIs00,STL,WR,35,14,12,0,0,0,0,0,2,-4,-2.00,0,101,55,733,13.33,4,97,154.9,124.4,,42,
124,David Patten\PattDa00,NOR,WR,33,16,5,0,0,0,0,0,2,-5,-2.50,0,87,54,792,14.67,3,97,152.7,121.7,,43,
125,Arnaz Battle\BattAr00,SFO,WR,27,16,15,0,0,0,0,0,4,4,1.00,1,104,50,600,12.00,5,96,147.9,118.4,,44,
126,Aaron Stecker\StecAa00,NOR,RB,32,16,6,0,0,0,0,0,115,448,3.90,5,43,36,211,5.86,0,96,137.4,112.9,,42,
127,Kyle Boller\BollKy00,BAL,QB,26,12,8,168,275,1743,9,10,19,89,4.68,0,1,0,0,,0,95,105.1,99.6,,28,
128,Jerious Norwood\NorwJe00,ATL,RB,24,15,2,0,0,0,0,0,103,613,5.95,1,39,28,277,9.89,0,95,129.0,109.0,,43,
129,Amani Toomer\ToomAm00,NYG,WR,33,16,15,0,0,0,0,0,0,0,,0,104,59,760,12.88,3,94,156.0,123.5,,46,
130,Roydell Williams\WillRo05,TEN,WR,26,16,14,0,0,0,0,0,2,-17,-8.50,0,93,55,719,13.07,4,94,152.2,121.7,,45,
131,Brandon Stokley\StokBr00,DEN,WR,31,13,9,0,0,0,0,0,1,-6,-6.00,0,71,40,635,15.88,5,93,135.9,112.9,,47,
132,Brian Griese\GrieBr00,CHI,QB,32,7,6,161,262,1803,10,12,13,28,2.15,0,0,0,0,,0,91,102.9,96.9,,29,
133,Julius Jones\JoneJu01,DAL,RB,26,16,16,0,0,0,0,0,164,588,3.59,2,26,23,203,8.83,0,91,120.1,102.6,,44,
134,Deion Branch\BranDe00,SEA,WR,28,11,11,0,0,0,0,0,0,0,,0,85,49,661,13.49,4,90,142.1,114.6,,48,
135,Chris Brown\BrowCh03,TEN,RB,26,12,1,0,0,0,0,0,102,462,4.53,5,21,19,128,6.74,0,89,113.5,97.5,,45,
136,Donte' Stallworth\StalDo00,NWE,WR,27,16,9,0,0,0,0,0,1,12,12.00,0,75,46,697,15.15,3,89,137.9,111.9,,49,
137,Justin Gage\GageJu00,TEN,WR,26,16,8,0,0,0,0,0,0,0,,0,85,55,750,13.64,2,87,144.5,113.5,,50,
138,Rudi Johnson\JohnRu00,CIN,RB,28,11,9,0,0,0,0,0,170,497,2.92,3,15,13,110,8.46,1,87,104.2,90.2,,46,
139,Dennis Northcutt\NortDe00,JAX,WR,30,15,11,0,0,0,0,0,6,27,4.50,0,73,44,601,13.66,4,87,133.3,107.8,,51,
140,Daunte Culpepper\CulpDa00,OAK,QB,30,7,6,108,186,1331,5,5,20,40,2.00,3,0,0,0,,0,85,88.7,81.2,,30,
141,Kenton Keith\KeitKe00,IND,RB,27,16,1,0,0,0,0,0,121,533,4.40,3,23,13,77,5.92,1,85,100.5,90.5,,47,
142,Trent Edwards\EdwaTr01,BUF,QB,24,10,9,151,269,1630,7,8,14,49,3.50,0,0,0,0,,0,82,91.1,86.1,,31,
143,Bobby Wade\WadeBo00,MIN,WR,26,16,12,0,0,0,0,0,1,-9,-9.00,0,84,54,647,11.98,3,82,137.3,105.8,,52,
144,Joe Jurevicius\JureJo00,CLE,WR,33,16,12,0,0,0,0,0,0,0,,0,81,50,614,12.28,3,81,134.4,106.4,,53,
145,Antwaan Randle El\RandAn00,WAS,WR,28,15,13,1,2,19,0,0,4,-3,-0.75,0,77,51,728,14.27,1,81,133.8,103.8,,54,
146,Vincent Jackson\JackVi00,SDG,WR,24,16,16,0,0,0,0,0,0,0,,0,80,41,623,15.20,3,80,124.3,100.8,,55,
147,James Jones\JoneJa04,GNB,WR,23,16,9,0,0,0,0,0,0,0,,0,80,47,676,14.38,2,80,128.1,100.1,,56,
148,Josh McCown\McCoJo01,OAK,QB,28,9,9,111,190,1151,10,11,29,143,4.93,0,0,0,0,,0,80,91.8,80.3,,32,
149,Ike Hilliard\HillIk00,TAM,WR,31,15,10,0,0,0,0,0,1,6,6.00,0,86,62,722,11.65,1,79,142.3,106.8,,57,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
150,Kellen Clemens\ClemKe00,NYJ,QB,24,10,8,130,250,1529,5,10,27,111,4.11,1,0,0,0,,0,78,92.3,84.3,,33,
151,Andre' Davis\DaviAn01,HOU,WR,28,14,8,0,0,0,0,0,0,0,,0,63,33,583,17.67,3,78,131.8,111.8,,58,
152,Michael Jenkins\JenkMi00,ATL,WR,25,15,6,0,0,0,0,0,0,0,,0,85,53,532,10.04,4,77,133.2,103.7,,59,
153,Drew Carter\CartDr00,CAR,WR,26,16,7,0,0,0,0,0,0,0,,0,75,38,517,13.61,4,76,116.7,94.7,,60,
154,Anthony Gonzalez\GonzAn00,IND,WR,23,13,9,0,0,0,0,0,0,0,,0,51,37,576,15.57,3,76,115.6,94.1,,61,
155,Ben Watson\WatsBe00,NWE,TE,27,12,8,0,0,0,0,0,1,11,11.00,0,49,36,389,10.81,6,76,114.5,93.0,,13,
156,Vernon Davis\DaviVe00,SFO,TE,23,14,14,0,0,0,0,0,0,0,,0,85,52,509,9.79,4,75,129.4,99.9,,14,
157,Jabar Gaffney\GaffJa00,NWE,WR,27,16,7,0,0,0,0,0,0,0,,0,50,36,449,12.47,5,75,113.9,92.9,,64,
158,Quinn Gray\GrayQu00,JAX,QB,28,8,4,80,144,986,10,5,19,57,3.00,0,0,0,0,,0,75,82.1,78.1,,34,
159,Muhsin Muhammad\MuhaMu00,CHI,WR,34,16,16,0,0,0,0,0,0,0,,0,81,40,570,14.25,3,75,118.0,95.0,,63,
160,Chris Redman\RedmCh00,ATL,QB,30,7,4,89,149,1079,10,5,8,16,2.00,0,0,0,0,,0,75,81.8,77.8,,35,
161,Nate Washington\WashNa00,PIT,WR,24,16,4,0,0,0,0,0,1,0,0.00,0,55,29,450,15.52,5,75,107.0,89.5,,62,
162,Jesse Chatman\ChatJe00,MIA,RB,28,14,6,0,0,0,0,0,128,515,4.02,1,37,27,161,5.96,0,74,106.1,86.1,,48,
163,Alge Crumpler\CrumAl00,ATL,TE,30,14,10,0,0,0,0,0,0,0,,0,70,42,444,10.57,5,74,119.4,95.4,,15,
164,Mike Furrey\FurrMi00,DET,WR,30,16,10,0,0,0,0,0,0,0,,0,91,61,664,10.89,1,72,136.4,102.9,,65,
165,Kevin Faulk\FaulKe00,NWE,RB,31,16,8,0,0,0,0,0,62,265,4.27,0,61,47,383,8.15,1,71,123.3,93.3,,49,
166,Ernest Wilford\WilfEr00,JAX,WR,28,16,14,0,0,0,0,0,0,0,,0,74,45,518,11.51,3,70,117.8,92.3,,66,
167,Reuben Droughns\DrouRe00,NYG,RB,29,16,1,0,0,0,0,0,85,275,3.24,6,15,7,49,7.00,0,68,77.9,70.9,,50,
168,Darrell Jackson\JackDa00,SFO,WR,29,15,15,0,0,0,0,0,0,0,,0,104,46,497,10.80,3,68,116.2,89.7,,67,
169,Kolby Smith\SmitKo00,KAN,RB,23,16,6,0,0,0,0,0,112,407,3.63,2,30,22,148,6.73,0,68,95.5,78.5,,51,
170,Sidney Rice\RiceSi01,MIN,WR,21,13,4,2,2,94,0,0,0,0,,0,53,31,396,12.77,4,67,101.4,82.9,,68,
171,Luke McCown\McCoLu00,TAM,QB,26,5,3,94,139,1009,5,3,12,117,9.75,0,0,0,0,,0,66,73.6,66.1,,36,
172,Bryant Johnson\JohnBr02,ARI,WR,26,16,8,0,0,0,0,0,0,0,,0,88,46,528,11.48,2,65,113.8,87.8,,69,
